"","X","School","County","Date","Days","days"
"1",1,"Frankfort CUSD 168","Franklin","8/31/2016","6",6
"2",2,"Streator ESD 44","LaSalle","9/3/2016","9",9
"3",3,"Zeigler Royalton CUSD 188","Franklin","9/14/2016","20",20
"4",4,"Pembroke CCSD 259","Kankakee","10/1/2016","37",37
"5",5,"Meridian CUSD 101","Pulaski","10/1/2016","37",37
"6",6,"Tamaroa School Dist 5","Perry","10/16/2016","52",52
"7",7,"Hardin County CUSD 1","Hardin","10/21/2016","57",57
"8",8,"Brooklyn UD 188","St Clair","10/25/2016","61",61
"9",9,"Elverado CUSD 196","Jackson","10/28/2016","64",64
"10",10,"Grand Prairie CCSD 6","Jefferson","10/29/2016","65",65
"11",11,"Momence CUSD 1","Kankakee","10/29/2016","65",65
"12",12,"Dongola USD 66","Iroquois","11/6/2016","73",73
"13",13,"Braceville SD 75","Grundy","11/8/2016","75",75
"14",14,"Duquoin CUSD 300","Perry","11/8/2016","75",75
"15",15,"Cahokia CUSD 187","St Clair","11/9/2016","76",76
"16",16,"Madison CUSD 12","Madison","11/10/2016","77",77
"17",17,"Kankakee SD 111","Kankakee","11/12/2016","79",79
"18",18,"Red Hill CUSD 10","Lawrence","11/13/2016","80",80
"19",19,"Harrisburg CUSD 3","Saline","11/16/2016","83",83
"20",20,"Georgetown Ridge Farm CUD 4","Vermilion","11/21/2016","88",88
"21",21,"Willow Grove SD 46","Clinton","11/22/2016","89",89
"22",22,"DePue USD 103","Bureau","11/28/2016","95",95
"23",23,"Wabash CUSD 348","Wabash","11/29/2016","96",96
"24",24,"Central City SD 133","Marion","12/1/2016","98",98
"25",25,"Sandoval CUSD 501","Marion","12/1/2016","98",98
"26",26,"Hamilton Co CUSD 10","Hamilton","12/7/2016","104",104
"27",27,"Murphysboro CUSD 186","Jackson","12/14/2016","111",111
"28",28,"Eldorado CUSD 4","Saline","12/16/2016","113",113
"29",29,"Vienna SD 55","Johnson","12/17/2016","114",114
"30",30,"Allendale CCSD 17","Wabash","12/19/2016","116",116
"31",31,"East Alton Wood River CHSD 14","Madison","12/20/2016","117",117
"32",32,"Chester CUSD 139","Randolph","12/20/2016","117",117
"33",33,"Norris City Omaha Enfield CUSD 3","White","12/20/2016","117",117
"34",34,"Herrin CUSD 4","Williamson","12/20/2016","117",117
"35",35,"Waukegan CUSD 60","Lake","12/23/2016","120",120
"36",36,"Unity Point CCSD 140","Jackson","12/24/2016","121",121
"37",37,"Odin PSD 722","Marion","12/24/2016","121",121
"38",38,"Princeton ESD 115","Bureau","12/25/2016","122",122
"39",39,"Benton CCSD 47","Franklin","12/25/2016","122",122
"40",40,"Bethalto CUSD 8","Madison","12/28/2016","125",125
"41",41,"Farrington CCSD 99","Jefferson","12/30/2016","127",127
"42",42,"Burnham SD 154 5","Cook","1/1/2017","129",129
"43",43,"North Greene CUSD 3","Greene","1/1/2017","129",129
"44",44,"Rock Falls ESD 13","Whiteside","1/1/2017","129",129
"45",45,"Centralia HSD 200","Marion","1/2/2017","130",130
"46",46,"Triad CUSD 2","Madison","1/3/2017","131",131
"47",47,"Gillespie CUSD 7","Macoupin","1/4/2017","132",132
"48",48,"Mount Olive CUSD 5","Macoupin","1/5/2017","133",133
"49",49,"Centralia SD 135","Marion","1/5/2017","133",133
"50",50,"South Pekin SD 137","Tazewell","1/5/2017","133",133
"51",51,"Dolton SD 149","Union","1/5/2017","133",133
"52",52,"Belleville SD 118","St Clair","1/6/2017","134",134
"53",53,"Alton CUSD 11","Madison","1/7/2017","135",135
"54",54,"City of Chicago SD 299","Cook","1/10/2017","138",138
"55",55,"Carrier Mills Stonefort CUSD 2","Saline","1/10/2017","138",138
"56",56,"Morris SD 54","Grundy","1/11/2017","139",139
"57",57,"W Harvey Dixmoor PSD 147","Cook","1/14/2017","142",142
"58",58,"Ottawa ESD 141","LaSalle","1/16/2017","144",144
"59",59,"Carbon Cliff Barstow SD 36","Rock Island","1/18/2017","146",146
"60",60,"Calhoun CUSD 40","Calhoun","1/19/2017","147",147
"61",61,"DeSoto Cons SD 86","Jackson","1/19/2017","147",147
"62",62,"La Salle ESD 122","LaSalle","1/19/2017","147",147
"63",63,"Spring Lake CCSD 606","Tazewell","1/19/2017","147",147
"64",64,"St Libory Cons SD 30","St Clair","1/20/2017","148",148
"65",65,"Danville CCSD 118","Vermilion","1/20/2017","148",148
"66",66,"Berwyn South SD 100","Cook","1/22/2017","150",150
"67",67,"Marissa CUSD 40","St Clair","1/22/2017","150",150
"68",68,"Maywood Melrose Park Broadview 8","Cook","1/23/2017","151",151
"69",69,"Mount Vernon SD 80","Jefferson","1/23/2017","151",151
"70",70,"Bellwood SD 88","Cook","1/25/2017","153",153
"71",71,"Neoga CUSD 3","Cumberland","1/25/2017","153",153
"72",72,"Bond County CUSD 2","Bond","1/26/2017","154",154
"73",73,"Crab Orchard CUSD 3","Williamson","1/26/2017","154",154
"74",74,"Casey Westfield CUSD 4C","Clark","1/27/2017","155",155
"75",75,"High Mount SD 116","St Clair","1/28/2017","156",156
"76",76,"Altamont CUSD 10","Effingham","1/29/2017","157",157
"77",77,"Christopher USD 99","Franklin","1/29/2017","157",157
"78",78,"Breese ESD 12","Clinton","1/30/2017","158",158
"79",79,"Lawrence County CUD 20","Lawrence","1/31/2017","159",159
"80",80,"Sparta CUSD 140","Randolph","1/31/2017","159",159
"81",81,"South Fork SD 14","Christian","2/1/2017","160",160
"82",82,"Woodlawn Unit SD 209","Jefferson","2/2/2017","161",161
"83",83,"East St Louis SD 189","St Clair","2/2/2017","161",161
"84",84,"Granite City CUSD 9","Madison","2/3/2017","162",162
"85",85,"Pikeland CUSD 10","Pike","2/3/2017","162",162
"86",86,"Griggsville Perry CUSD 4","Pike","2/4/2017","163",163
"87",87,"Cowden Herrick CUSD 3A","Shelby","2/4/2017","163",163
"88",88,"Beardstown CUSD 15","Cass","2/5/2017","164",164
"89",89,"Park Forest SD 163","Cook","2/5/2017","164",164
"90",90,"Aurora East USD 131","Kane","2/5/2017","164",164
"91",91,"South Central CUD 401","Marion","2/5/2017","164",164
"92",92,"Calumet City SD 155","Cook","2/6/2017","165",165
"93",93,"Thompsonville CUSD 174","Franklin","2/6/2017","165",165
"94",94,"Sandwich CUSD 430","Dekalb","2/7/2017","166",166
"95",95,"Aurora West USD 129","Kane","2/8/2017","167",167
"96",96,"Peoria SD 150","Peoria","2/8/2017","167",167
"97",97,"Dupo CUSD 196","Perry","2/8/2017","167",167
"98",98,"Johnston City CUSD 1","Williamson","2/8/2017","167",167
"99",99,"Warsaw CUSD 316","Hancock","2/10/2017","169",169
"100",100,"Millburn CCSD 24","Lake","2/10/2017","169",169
"101",101,"O Fallon CCSD 90","St Clair","2/10/2017","169",169
"102",102,"Decatur SD 61","Macon","2/11/2017","170",170
"103",103,"Century CUSD 100","Pulaski","2/11/2017","170",170
"104",104,"Joliet PSD 86","Will","2/14/2017","173",173
"105",105,"Spring Garden CCSD 178","Jefferson","2/15/2017","174",174
"106",106,"Mulberry Grove CUSD 1","Bond","2/15/2017","174",174
"107",107,"New Simpson Hill SD 32","Johnson","2/15/2017","174",174
"108",108,"East Richland CUSD 1","Richland","2/15/2017","174",174
"109",109,"Western CUSD 12","Pike","2/16/2017","175",175
"110",110,"Vienna HSD 133","Johnson","2/20/2017","179",179
"111",111,"Monmouth Roseville CUSD 238","Wabash","2/20/2017","179",179
"112",112,"Litchfield CUSD 12","Montgomery ","2/21/2017","180",180
"113",113,"Harlem UD 122","Winnebago","2/21/2017","180",180
"114",114,"Edwards County CUSD 1","Edwards","2/22/2017","181",181
"115",115,"Winchester CUSD 1","Scott","2/22/2017","181",181
"116",116,"Wayne City CUSD 100","Wayne","2/22/2017","181",181
"117",117,"CUSD 4","Adams","2/23/2017","182",182
"118",118,"Rantoul City SD 137","Champaign","2/23/2017","182",182
"119",119,"Edwardsville CUSD 7","Madison","2/24/2017","183",183
"120",120,"Ashley CCSD 15","Washington","2/24/2017","183",183
"121",121,"Paris Union SD 95","Edgar","2/25/2017","184",184
"122",122,"South Wilmington CCSD 74","Grundy","2/25/2017","184",184
"123",123,"Buncombe Cons SD 43","Johnson","2/25/2017","184",184
"124",124,"Iuka CCSD 7","Marion","2/26/2017","185",185
"125",125,"Oakwood CUSD 76","Vermilion","2/28/2017","187",187
"126",126,"County of Union Sch Dist No43","Union","3/2/2017","189",189
"127",127,"Schuyler Industry CUSD 5","Schuyler","3/3/2017","190",190
"128",128,"Grayville CUSD 1","White","3/3/2017","190",190
"129",129,"Miller Twp CCSD 210","LaSalle","3/4/2017","191",191
"130",130,"Oblong CUSD 4","Crawford","3/6/2017","193",193
"131",131,"Carmi White County CUSD 5","White","3/6/2017","193",193
"132",132,"Mattoon CUSD 2","Coles","3/7/2017","194",194
"133",133,"Palestine CUSD 3","Crawford","3/7/2017","194",194
"134",134,"Beach Park CCSD 3","Lake","3/7/2017","194",194
"135",135,"Massac UD 1","Mason","3/9/2017","196",196
"136",136,"Anna CCSD 37","Union","3/9/2017","196",196
"137",137,"Hutsonville CUSD 1","Crawford","3/11/2017","198",198
"138",138,"Round Lake CUSD 116","Lake","3/12/2017","199",199
"139",139,"Staunton CUSD 6","Macoupin","3/12/2017","199",199
"140",140,"Springfield SD 186","Sangamon","3/12/2017","199",199
"141",141,"Pinckneyville CHSD 101","Perry","3/13/2017","200",200
"142",142,"Pleasant Hill CUSD 3","Pike","3/14/2017","201",201
"143",143,"Cypress SD 64","Johnson","3/15/2017","202",202
"144",144,"Vandalia CUSD 203","Fayette","3/17/2017","204",204
"145",145,"Jersey CUSD 100","Jersey","3/18/2017","205",205
"146",146,"North Chicago SD 187","Lake","3/18/2017","205",205
"147",147,"Big Hollow SD 38","Lake","3/19/2017","206",206
"148",148,"Quincy SD 172","Adams","3/20/2017","207",207
"149",149,"Cumberland CUSD 77","Cumberland","3/20/2017","207",207
"150",150,"Highland CUSD 5","Madison","3/20/2017","207",207
"151",151,"Collinsville CUSD 10","Madison","3/20/2017","207",207
"152",152,"Freeport SD 145","Stephenson","3/20/2017","207",207
"153",153,"Belleville Twp HSD 201","St Clair","3/21/2017","208",208
"154",154,"East Peoria CHSD 309","Tazewell","3/21/2017","208",208
"155",155,"Virginia CUSD 64","Cass","3/22/2017","209",209
"156",156,"Morris CHSD 101","Grundy","3/22/2017","209",209
"157",157,"Westville CUSD 2","Vermilion","3/22/2017","209",209
"158",158,"Ramsey CUSD 204","Fayette","3/23/2017","210",210
"159",159,"Southwestern CUSD 9","Macoupin","3/23/2017","210",210
"160",160,"Hillsboro CUSD 3","Montgomery ","3/23/2017","210",210
"161",161,"Harmony Emge SD 175","St Clair","3/23/2017","210",210
"162",162,"Gen George Patton SD 133","Cook","3/25/2017","212",212
"163",163,"Prairie Hills ESD 144","Cook","3/25/2017","212",212
"164",164,"Jasper County CUD 1","Jasper","3/25/2017","212",212
"165",165,"Lake Bluff ESD 65","Lake","3/25/2017","212",212
"166",166,"Zion ESD 6","Lake","3/25/2017","212",212
"167",167,"Prairie Du Rocher CCSD 134","Randolph","3/25/2017","212",212
"168",168,"Gallatin CUSD 7","Gallatin","3/26/2017","213",213
"169",169,"Field CCSD 3","Jefferson","3/26/2017","213",213
"170",170,"Hamilton CCSD 328","Hancock","3/27/2017","214",214
"171",171,"Mahomet Seymour CUSD 3","Champaign","3/28/2017","215",215
"172",172,"Chaney Monge SD 88","Will","3/28/2017","215",215
"173",173,"Marion CUSD 2","Williamson","3/28/2017","215",215
"174",174,"Thornton Twp HSD 205","Cook","3/29/2017","216",216
"175",175,"Coulterville USD 1","Randolph","3/29/2017","216",216
"176",176,"Posen Robbins ESD 143 5","Cook","3/30/2017","217",217
"177",177,"Dolton SD 148","Cook","3/30/2017","217",217
"178",178,"Summit SD 104","Cook","3/31/2017","218",218
"179",179,"Pekin PSD 108","Tazewell","4/1/2017","219",219
"180",180,"Taylorville CUSD 3","Christian","4/2/2017","220",220
"181",181,"Bismarck Henning CUSD","Vermilion","4/2/2017","220",220
"182",182,"Fieldcrest CUSD 6","Woodford","4/2/2017","220",220
"183",183,"Rockford SD 205","Winnebago","4/3/2017","221",221
"184",184,"North Mac CUSD 34","Macoupin","4/4/2017","222",222
"185",185,"Lick Creek CCSD 16","Union","4/4/2017","222",222
"186",186,"Carterville CUSD 5","Williamson","4/4/2017","222",222
"187",187,"Crete Monee CUSD 201U","Will","4/5/2017","223",223
"188",188,"Bloom Twp HSD 206","Cook","4/6/2017","224",224
"189",189,"Pinckneyville SD 50","Perry","4/6/2017","224",224
"190",190,"Sesser Valier CUSD 196","Franklin","4/7/2017","225",225
"191",191,"Fairfield Comm H S Dist 225","Wayne","4/7/2017","225",225
"192",192,"Cairo USD 1","Alexander","4/8/2017","226",226
"193",193,"Bensenville SD 2","Dupage","4/8/2017","226",226
"194",194,"Shiloh Village SD 85","St Clair","4/8/2017","226",226
"195",195,"Bureau Valley CUSD 340","Bureau","4/9/2017","227",227
"196",196,"Martinsville CUSD 3C","Clark","4/9/2017","227",227
"197",197,"Galesburg CUSD 205","Knox","4/9/2017","227",227
"198",198,"Johnsburg CUSD 12","McHenry","4/9/2017","227",227
"199",199,"Egyptian CUSD 5","Alexander","4/10/2017","228",228
"200",200,"Matteson ESD 162","Cook","4/11/2017","229",229
"201",201,"Carrollton CUSD 1","Greene","4/11/2017","229",229
"202",202,"Oswego CUSD 308","Kendall","4/11/2017","229",229
"203",203,"Country Club Hills SD 160","Cook","4/12/2017","230",230
"204",204,"Deer Creek Mackinaw CUSD 701","Tazewell","4/12/2017","230",230
"205",205,"Bradley SD 61","Kankakee","4/13/2017","231",231
"206",206,"Meridian CUSD 15","Macon","4/14/2017","232",232
"207",207,"Bunker Hill CUSD 8","Macoupin","4/14/2017","232",232
"208",208,"Charleston CUSD 1","Coles","4/15/2017","233",233
"209",209,"Cook County SD 130","Cook","4/15/2017","233",233
"210",210,"Steeleville CUSD 138","Randolph","4/15/2017","233",233
"211",211,"Porta CUSD 202","Menard","4/16/2017","234",234
"212",212,"Pope Co CUD 1","Pope","4/16/2017","234",234
"213",213,"Plainfield SD 202","Will","4/16/2017","234",234
"214",214,"Kewanee CUSD 229","Henry","4/17/2017","235",235
"215",215,"Sandridge SD 172","Cook","4/21/2017","239",239
"216",216,"Kell Cons SD 2","Marion","4/21/2017","239",239
"217",217,"Sycamore CUSD 427","Dekalb","4/22/2017","240",240
"218",218,"Wesclin CUSD 3","Clinton","4/23/2017","241",241
"219",219,"Villa Grove CUSD 302","Douglas","4/23/2017","241",241
"220",220,"Shawnee CUSD 84","Union","4/23/2017","241",241
"221",221,"Greenfield CUSD 10","Greene","4/24/2017","242",242
"222",222,"Spring Valley CCSD 99","Bureau","4/25/2017","243",243
"223",223,"St Elmo CUSD 202","Fayette","4/25/2017","243",243
"224",224,"West Carroll CUSD 314","Carroll","4/26/2017","244",244
"225",225,"Prairie Central CUSD 8","Livingston","4/26/2017","244",244
"226",226,"Pontiac Twp HSD 90","Livingston","4/26/2017","244",244
"227",227,"Dakota CUSD 201","Stephenson","4/26/2017","244",244
"228",228,"Anna Jonesboro CHSD 81","Union","4/26/2017","244",244
"229",229,"DeKalb CUSD 428","Dekalb","4/27/2017","245",245
"230",230,"Southeastern CUSD 337","Hancock","4/27/2017","245",245
"231",231,"Central CUSD 4","Iroquois","4/27/2017","245",245
"232",232,"Stewardson Strasburg CUD 5A","Shelby","4/27/2017","245",245
"233",233,"Salem SD 111","Marion","4/28/2017","246",246
"234",234,"Nokomis CUSD 22","Montgomery ","4/28/2017","246",246
"235",235,"Flanagan Cornell Dist 74","Livingston","4/29/2017","247",247
"236",236,"Freeburg CHSD 77","St Clair","4/29/2017","247",247
"237",237,"Oakdale CCSD 1","Washington","4/29/2017","247",247
"238",238,"Dalzell SD 98","Bureau","4/30/2017","248",248
"239",239,"Peotone CUSD 207U","Will","4/30/2017","248",248
"240",240,"Liberty CUSD 2","Adams","5/1/2017","249",249
"241",241,"Chicago Heights SD 170","Cook","5/1/2017","249",249
"242",242,"Limestone CHSD 310","Peoria","5/1/2017","249",249
"243",243,"Gavin SD 37","Lake","5/2/2017","250",250
"244",244,"Central A & M CUD 21","Shelby","5/2/2017","250",250
"245",245,"Lewistown CUSD 97","Fulton","5/3/2017","251",251
"246",246,"Trico CUSD 176","Jackson","5/3/2017","251",251
"247",247,"Hall HSD 502","Bureau","5/4/2017","252",252
"248",248,"Harvey SD 152","Cook","5/4/2017","252",252
"249",249,"Arthur CUSD 305","Piatt","5/4/2017","252",252
"250",250,"Tri City CUSD 1","Sangamon","5/4/2017","252",252
"251",251,"Brownstown CUSD 201","Fayette","5/5/2017","253",253
"252",252,"El Paso Gridley CUSD 11","Woodford","5/5/2017","253",253
"253",253,"Wheeling CCSD 21","Cook","5/6/2017","254",254
"254",254,"Benton Cons HSD 103","Franklin","5/6/2017","254",254
"255",255,"Maroa Forsyth CUSD 2","Macon","5/6/2017","254",254
"256",256,"Orangeville CUSD 203","Stephenson","5/6/2017","254",254
"257",257,"Lincoln Way CHSD 210","Will","5/6/2017","254",254
"258",258,"Riverdale CUSD 100","Rock Island","5/7/2017","255",255
"259",259,"Sterling CUSD 5","Whiteside","5/7/2017","255",255
"260",260,"Central CUSD 3","Adams","5/8/2017","256",256
"261",261,"CCSD 168","Cook","5/10/2017","258",258
"262",262,"McClellan CCSD 12","Jefferson","5/11/2017","259",259
"263",263,"Grant CCSD 110","St Clair","5/11/2017","259",259
"264",264,"Prophetstown Lyndon Tampico CUSD Whiteside","","5/12/2017","260",260
"265",265,"River Bend CUSD 2","Whiteside","5/12/2017","260",260
"266",266,"Tri Point CUSD 6 J","Livingston","5/13/2017","261",261
"267",267,"Aviston SD 21","Clinton","5/14/2017","262",262
"268",268,"Colona SD 190","Henry","5/14/2017","262",262
"269",269,"Urbana SD 116","Champaign","5/15/2017","263",263
"270",270,"Morrisonville CUSD 1","Christian","5/15/2017","263",263
"271",271,"Streator Twp HSD 40","LaSalle","5/15/2017","263",263
"272",272,"Galatia CUSD 1","Saline","5/15/2017","263",263
"273",273,"Rochester CUSD 3A","Sangamon","5/15/2017","263",263
"274",274,"Pearl City CUSD 200","Stephenson","5/15/2017","263",263
"275",275,"Wethersfield CUSD 230","Henry","5/16/2017","264",264
"276",276,"Hoopeston Area CUSD 11","Vermilion","5/16/2017","264",264
"277",277,"Pana CUSD 8","Christian","5/17/2017","265",265
"278",278,"Valmeyer CUSD 3","Monroe","5/18/2017","266",266
"279",279,"Queen Bee SD 16","Dupage","5/19/2017","267",267
"280",280,"Dallas ESD 327","Hancock","5/20/2017","268",268
"281",281,"Bement CUSD 5","Piatt","5/20/2017","268",268
"282",282,"Carlinville CUSD 1","Macoupin","5/21/2017","269",269
"283",283,"Bushnell Prairie City CUSD 170","McDonough","5/21/2017","269",269
"284",284,"Homewood SD 153","Cook","5/22/2017","270",270
"285",285,"Mt Zion CUSD 3","Macon","5/22/2017","270",270
"286",286,"New Athens CUSD 60","St Clair","5/22/2017","270",270
"287",287,"United CUSD 304","Wabash","5/22/2017","270",270
"288",288,"Cerro Gordo CUSD 100","Piatt","5/23/2017","271",271
"289",289,"Rock Island SD 41","Rock Island","5/23/2017","271",271
"290",290,"New Hope CCSD 6","Wayne","5/23/2017","271",271
"291",291,"Damiansville SD 62","Clinton","5/24/2017","272",272
"292",292,"CHSD 99","Dupage","5/24/2017","272",272
"293",293,"Oak Grove SD 68","Lake","5/24/2017","272",272
"294",294,"Woodland CUSD 5","Livingston","5/24/2017","272",272
"295",295,"O Fallon Twp HSD 203","St Clair","5/25/2017","273",273
"296",296,"Brown County CUSD 1","Brown","5/26/2017","274",274
"297",297,"Mt Vernon Twp HSD 201","Jefferson","5/26/2017","274",274
"298",298,"Taft SD 90","Will","5/26/2017","274",274
"299",299,"J S Morton HSD 201","Cook","5/27/2017","275",275
"300",300,"East Coloma   Nelson CESD 20","Whiteside","5/27/2017","275",275
"301",301,"Payson CUSD 1","Adams","5/28/2017","276",276
"302",302,"Ewing Northern CCSD 115","Franklin","5/29/2017","277",277
"303",303,"Cambridge CUSD 227","Henry","5/29/2017","277",277
"304",304,"Waltonville CUSD 1","Jefferson","5/29/2017","277",277
"305",305,"Marshall CUSD 2C","Clark","5/30/2017","278",278
"306",306,"Clay City CUSD 10","Clay","5/30/2017","278",278
"307",307,"Edgar County CUD 6","Edgar","5/30/2017","278",278
"308",308,"McLean County USD 5","McLean","5/30/2017","278",278
"309",309,"La Harpe CSD 347","Hancock","5/31/2017","279",279
"310",310,"Argenta Oreana CUSD 1","Macon","5/31/2017","279",279
"311",311,"Cobden SUD 17","Union","5/31/2017","279",279
"312",312,"Steger SD 194","Cook","6/1/2017","Remain Open for the entire year",NA
"313",313,"Paris CUSD 4","Edgar","6/2/2017","Remain Open for the entire year",NA
"314",314,"CUSD 3 Fulton County","Fulton","6/2/2017","Remain Open for the entire year",NA
"315",315,"Metamora CCSD 1","Woodford","6/2/2017","Remain Open for the entire year",NA
"316",316,"Hoover Schrum Memorial SD 157","Cook","6/3/2017","Remain Open for the entire year",NA
"317",317,"Geneseo CUSD 228","Henry","6/3/2017","Remain Open for the entire year",NA
"318",318,"Warrensburg Latham CUSD 11","Macon","6/3/2017","Remain Open for the entire year",NA
"319",319,"Reavis Twp HSD 220","Cook","6/4/2017","Remain Open for the entire year",NA
"320",320,"St Anne CCSD 256","Kankakee","6/5/2017","Remain Open for the entire year",NA
"321",321,"Dixon USD 170","Lee","6/5/2017","Remain Open for the entire year",NA
"322",322,"Whiteside SD 115","St Clair","6/6/2017","Remain Open for the entire year",NA
"323",323,"Arbor Park SD 145","Cook","6/6/2017","Remain Open for the entire year",NA
"324",324,"Gardner S Wilmington Twp HSD 73","Grundy","6/9/2017","Remain Open for the entire year",NA
"325",325,"Rossville Alvin CUSD 7","Vermilion","6/9/2017","Remain Open for the entire year",NA
"326",326,"Princeville CUSD 326","Peoria","6/10/2017","Remain Open for the entire year",NA
"327",327,"Ball Chatham CUSD 5","Sangamon","6/10/2017","Remain Open for the entire year",NA
"328",328,"River Grove SD 85 5","Cook","6/12/2017","Remain Open for the entire year",NA
"329",329,"Kaneland CUSD 302","Kane","6/12/2017","Remain Open for the entire year",NA
"330",330,"Midlothian SD 143","Cook","6/13/2017","Remain Open for the entire year",NA
"331",331,"Bourbonnais SD 53","Kankakee","6/13/2017","Remain Open for the entire year",NA
"332",332,"Princeton HSD 500","Bureau","6/14/2017","Remain Open for the entire year",NA
"333",333,"Irvington CCSD 11","Washington","6/14/2017","Remain Open for the entire year",NA
"334",334,"Valley View CUSD 365U","Will","6/14/2017","Remain Open for the entire year",NA
"335",335,"St George CCSD 258","Kankakee","6/15/2017","Remain Open for the entire year",NA
"336",336,"Olympia CUSD 16","McLean","6/16/2017","Remain Open for the entire year",NA
"337",337,"Millstadt CCSD 160","St Clair","6/16/2017","Remain Open for the entire year",NA
"338",338,"Washington SD 52","Tazewell","6/16/2017","Remain Open for the entire year",NA
"339",339,"Lyons SD 103","Cook","6/17/2017","Remain Open for the entire year",NA
"340",340,"SD U 46","Kane","6/17/2017","Remain Open for the entire year",NA
"341",341,"Pontiac CCSD 429","Livingston","6/17/2017","Remain Open for the entire year",NA
"342",342,"Panhandle CUSD 2","Montgomery ","6/17/2017","Remain Open for the entire year",NA
"343",343,"Peru ESD 124","LaSalle","6/18/2017","Remain Open for the entire year",NA
"344",344,"Lincoln ESD 27","Logan","6/18/2017","Remain Open for the entire year",NA
"345",345,"Williamsville CUSD 15","Sangamon","6/18/2017","Remain Open for the entire year",NA
"346",346,"La Grange SD 102","Cook","6/19/2017","Remain Open for the entire year",NA
"347",347,"Athens CUSD 213","Menard","6/19/2017","Remain Open for the entire year",NA
"348",348,"Oglesby ESD 125","LaSalle","6/20/2017","Remain Open for the entire year",NA
"349",349,"Midwest Central CUSD 191","Mason","6/20/2017","Remain Open for the entire year",NA
