"","X","School","County","Date","Days","days"
"350",350,"Pleasant Hill SD 69","Peoria","6/21/2017","Remain Open for the entire year",NA
"351",351,"Deland Weldon CUSD 57","Piatt","6/21/2017","Remain Open for the entire year",NA
"352",352,"Berkeley SD 87","Cook","6/22/2017","Remain Open for the entire year",NA
"353",353,"Lowpoint Washburn CUSD 21","Woodford","6/22/2017","Remain Open for the entire year",NA
"354",354,"Salt Fork CUD 512","Vermilion","6/25/2017","Remain Open for the entire year",NA
"355",355,"Belvidere CUSD 100","Boone","After 6/30","Remain Open for the entire year",NA
"356",356,"North Boone CUSD 200","Boone","After 6/30","Remain Open for the entire year",NA
"357",357,"Ladd CCSD 94","Bureau","After 6/30","Remain Open for the entire year",NA
"358",358,"Cherry SD 92","Bureau","After 6/30","Remain Open for the entire year",NA
"359",359,"Ohio CCSD 17","Bureau","After 6/30","Remain Open for the entire year",NA
"360",360,"La Moille CUSD 303","Bureau","After 6/30","Remain Open for the entire year",NA
"361",361,"Malden CCSD 84","Bureau","After 6/30","Remain Open for the entire year",NA
"362",362,"Ohio CHSD 505","Bureau","After 6/30","Remain Open for the entire year",NA
"363",363,"Brussels CUSD 42","Calhoun","After 6/30","Remain Open for the entire year",NA
"364",364,"Chadwick Milledgeville CUSD 399","Carroll","After 6/30","Remain Open for the entire year",NA
"365",365,"Eastland CUSD 308","Carroll","After 6/30","Remain Open for the entire year",NA
"366",366,"A C Central CUSD 262","Cass","After 6/30","Remain Open for the entire year",NA
"367",367,"Tolono CUSD 7","Champaign","After 6/30","Remain Open for the entire year",NA
"368",368,"St Joseph CCSD 169","Champaign","After 6/30","Remain Open for the entire year",NA
"369",369,"Ludlow CCSD 142","Champaign","After 6/30","Remain Open for the entire year",NA
"370",370,"Thomasboro CCSD 130","Champaign","After 6/30","Remain Open for the entire year",NA
"371",371,"Heritage CUSD 8","Champaign","After 6/30","Remain Open for the entire year",NA
"372",372,"Champaign CUSD 4","Champaign","After 6/30","Remain Open for the entire year",NA
"373",373,"Rantoul Township HSD 193","Champaign","After 6/30","Remain Open for the entire year",NA
"374",374,"Fisher CUSD 1","Champaign","After 6/30","Remain Open for the entire year",NA
"375",375,"Gifford CCSD 188","Champaign","After 6/30","Remain Open for the entire year",NA
"376",376,"St Joseph Ogden CHSD 305","Champaign","After 6/30","Remain Open for the entire year",NA
"377",377,"Prairieview Ogden CCSD 197","Champaign","After 6/30","Remain Open for the entire year",NA
"378",378,"Edinburg CUSD 4","Christian","After 6/30","Remain Open for the entire year",NA
"379",379,"Flora CUSD 35","Clay","After 6/30","Remain Open for the entire year",NA
"380",380,"North Clay CUSD 25","Clay","After 6/30","Remain Open for the entire year",NA
"381",381,"Carlyle CUSD 1","Clinton","After 6/30","Remain Open for the entire year",NA
"382",382,"Germantown SD 60","Clinton","After 6/30","Remain Open for the entire year",NA
"383",383,"Central CHSD 71","Clinton","After 6/30","Remain Open for the entire year",NA
"384",384,"St Rose SD 14 15","Clinton","After 6/30","Remain Open for the entire year",NA
"385",385,"Bartelso SD 57","Clinton","After 6/30","Remain Open for the entire year",NA
"386",386,"Albers SD 63","Clinton","After 6/30","Remain Open for the entire year",NA
"387",387,"North Wamac SD 186","Clinton","After 6/30","Remain Open for the entire year",NA
"388",388,"Oakland CUSD 5","Coles","After 6/30","Remain Open for the entire year",NA
"389",389,"Oak Lawn CHSD 229","Cook","After 6/30","Remain Open for the entire year",NA
"390",390,"Evanston CCSD 65","Cook","After 6/30","Remain Open for the entire year",NA
"391",391,"Oak Park ESD 97","Cook","After 6/30","Remain Open for the entire year",NA
"392",392,"Evergreen Park ESD 124","Cook","After 6/30","Remain Open for the entire year",NA
"393",393,"Thornton Fractional Twp HSD 215","Cook","After 6/30","Remain Open for the entire year",NA
"394",394,"Norridge SD 80","Cook","After 6/30","Remain Open for the entire year",NA
"395",395,"Forest Ridge SD 142","Cook","After 6/30","Remain Open for the entire year",NA
"396",396,"Arlington Heights SD 25","Cook","After 6/30","Remain Open for the entire year",NA
"397",397,"Atwood Heights SD 125","Cook","After 6/30","Remain Open for the entire year",NA
"398",398,"Proviso Twp HSD 209","Cook","After 6/30","Remain Open for the entire year",NA
"399",399,"South Holland SD 151","Cook","After 6/30","Remain Open for the entire year",NA
"400",400,"Lincoln ESD 156","Cook","After 6/30","Remain Open for the entire year",NA
"401",401,"Palatine CCSD 15","Cook","After 6/30","Remain Open for the entire year",NA
"402",402,"Worth SD 127","Cook","After 6/30","Remain Open for the entire year",NA
"403",403,"Oak Lawn Hometown SD 123","Cook","After 6/30","Remain Open for the entire year",NA
"404",404,"Indian Springs SD 109","Cook","After 6/30","Remain Open for the entire year",NA
"405",405,"Pennoyer SD 79","Cook","After 6/30","Remain Open for the entire year",NA
"406",406,"Rosemont ESD 78","Cook","After 6/30","Remain Open for the entire year",NA
"407",407,"Calumet Public SD 132","Cook","After 6/30","Remain Open for the entire year",NA
"408",408,"Elmwood Park CUSD 401","Cook","After 6/30","Remain Open for the entire year",NA
"409",409,"West Northfield SD 31","Cook","After 6/30","Remain Open for the entire year",NA
"410",410,"East Maine SD 63","Cook","After 6/30","Remain Open for the entire year",NA
"411",411,"Ford Heights SD 169","Cook","After 6/30","Remain Open for the entire year",NA
"412",412,"Brookwood SD 167","Cook","After 6/30","Remain Open for the entire year",NA
"413",413,"Argo CHSD 217","Cook","After 6/30","Remain Open for the entire year",NA
"414",414,"Avoca SD 37","Cook","After 6/30","Remain Open for the entire year",NA
"415",415,"Chicago Ridge SD 127 5","Cook","After 6/30","Remain Open for the entire year",NA
"416",416,"Skokie SD 69","Cook","After 6/30","Remain Open for the entire year",NA
"417",417,"Mount Prospect SD 57","Cook","After 6/30","Remain Open for the entire year",NA
"418",418,"Lansing SD 158","Cook","After 6/30","Remain Open for the entire year",NA
"419",419,"Bremen CHSD 228","Cook","After 6/30","Remain Open for the entire year",NA
"420",420,"Prospect Heights SD 23","Cook","After 6/30","Remain Open for the entire year",NA
"421",421,"Rich Twp HSD 227","Cook","After 6/30","Remain Open for the entire year",NA
"422",422,"Schiller Park SD 81","Cook","After 6/30","Remain Open for the entire year",NA
"423",423,"Sunnybrook SD 171","Cook","After 6/30","Remain Open for the entire year",NA
"424",424,"Hazel Crest SD 152 5","Cook","After 6/30","Remain Open for the entire year",NA
"425",425,"Komarek SD 94","Cook","After 6/30","Remain Open for the entire year",NA
"426",426,"Westchester SD 92 5","Cook","After 6/30","Remain Open for the entire year",NA
"427",427,"Evanston Twp HSD 202","Cook","After 6/30","Remain Open for the entire year",NA
"428",428,"Brookfield Lagrange Park SD 95","Cook","After 6/30","Remain Open for the entire year",NA
"429",429,"Cicero SD 99","Cook","After 6/30","Remain Open for the entire year",NA
"430",430,"Berwyn North SD 98","Cook","After 6/30","Remain Open for the entire year",NA
"431",431,"Burbank SD 111","Cook","After 6/30","Remain Open for the entire year",NA
"432",432,"Cons HSD 230","Cook","After 6/30","Remain Open for the entire year",NA
"433",433,"East Prairie SD 73","Cook","After 6/30","Remain Open for the entire year",NA
"434",434,"Flossmoor SD 161","Cook","After 6/30","Remain Open for the entire year",NA
"435",435,"Orland SD 135","Cook","After 6/30","Remain Open for the entire year",NA
"436",436,"Township HSD 211","Cook","After 6/30","Remain Open for the entire year",NA
"437",437,"CHSD 218","Cook","After 6/30","Remain Open for the entire year",NA
"438",438,"La Grange SD 105 South","Cook","After 6/30","Remain Open for the entire year",NA
"439",439,"Lemont Bromberek CSD 113A","Cook","After 6/30","Remain Open for the entire year",NA
"440",440,"Willow Springs SD 108","Cook","After 6/30","Remain Open for the entire year",NA
"441",441,"River Trails SD 26","Cook","After 6/30","Remain Open for the entire year",NA
"442",442,"Lincolnwood SD 74","Cook","After 6/30","Remain Open for the entire year",NA
"443",443,"Western Springs SD 101","Cook","After 6/30","Remain Open for the entire year",NA
"444",444,"Wilmette SD 39","Cook","After 6/30","Remain Open for the entire year",NA
"445",445,"Union Ridge SD 86","Cook","After 6/30","Remain Open for the entire year",NA
"446",446,"Township HSD 214","Cook","After 6/30","Remain Open for the entire year",NA
"447",447,"Lyons Twp HSD 204","Cook","After 6/30","Remain Open for the entire year",NA
"448",448,"ESD 159","Cook","After 6/30","Remain Open for the entire year",NA
"449",449,"Golf ESD 67","Cook","After 6/30","Remain Open for the entire year",NA
"450",450,"Northbrook SD 28","Cook","After 6/30","Remain Open for the entire year",NA
"451",451,"North Palos SD 117","Cook","After 6/30","Remain Open for the entire year",NA
"452",452,"CCSD 146","Cook","After 6/30","Remain Open for the entire year",NA
"453",453,"Ridgeland SD 122","Cook","After 6/30","Remain Open for the entire year",NA
"454",454,"Northfield Twp HSD 225","Cook","After 6/30","Remain Open for the entire year",NA
"455",455,"Thornton SD 154","Cook","After 6/30","Remain Open for the entire year",NA
"456",456,"Riverside Brookfield Twp SD 208","Cook","After 6/30","Remain Open for the entire year",NA
"457",457,"Glenview CCSD 34","Cook","After 6/30","Remain Open for the entire year",NA
"458",458,"Schaumburg CCSD 54","Cook","After 6/30","Remain Open for the entire year",NA
"459",459,"Maine Township HSD 207","Cook","After 6/30","Remain Open for the entire year",NA
"460",460,"Kirby SD 140","Cook","After 6/30","Remain Open for the entire year",NA
"461",461,"Ridgewood CHSD 234","Cook","After 6/30","Remain Open for the entire year",NA
"462",462,"Northbrook ESD 27","Cook","After 6/30","Remain Open for the entire year",NA
"463",463,"Homewood Flossmoor CHSD 233","Cook","After 6/30","Remain Open for the entire year",NA
"464",464,"Rhodes SD 84 5","Cook","After 6/30","Remain Open for the entire year",NA
"465",465,"Palos CCSD 118","Cook","After 6/30","Remain Open for the entire year",NA
"466",466,"Park Ridge CCSD 64","Cook","After 6/30","Remain Open for the entire year",NA
"467",467,"LaGrange Highlands SD 106","Cook","After 6/30","Remain Open for the entire year",NA
"468",468,"Palos Heights SD 128","Cook","After 6/30","Remain Open for the entire year",NA
"469",469,"Northbrook/Glenview SD 30","Cook","After 6/30","Remain Open for the entire year",NA
"470",470,"New Trier Twp HSD 203","Cook","After 6/30","Remain Open for the entire year",NA
"471",471,"Lemont Twp HSD 210","Cook","After 6/30","Remain Open for the entire year",NA
"472",472,"Pleasantdale SD 107","Cook","After 6/30","Remain Open for the entire year",NA
"473",473,"Forest Park SD 91","Cook","After 6/30","Remain Open for the entire year",NA
"474",474,"Hillside SD 93","Cook","After 6/30","Remain Open for the entire year",NA
"475",475,"Kenilworth SD 38","Cook","After 6/30","Remain Open for the entire year",NA
"476",476,"Lindop SD 92","Cook","After 6/30","Remain Open for the entire year",NA
"477",477,"Skokie SD 68","Cook","After 6/30","Remain Open for the entire year",NA
"478",478,"Franklin Park SD 84","Cook","After 6/30","Remain Open for the entire year",NA
"479",479,"CCSD 62","Cook","After 6/30","Remain Open for the entire year",NA
"480",480,"Skokie SD 73 5","Cook","After 6/30","Remain Open for the entire year",NA
"481",481,"Central Stickney SD 110","Cook","After 6/30","Remain Open for the entire year",NA
"482",482,"Evergreen Park CHSD 231","Cook","After 6/30","Remain Open for the entire year",NA
"483",483,"Niles Twp CHSD 219","Cook","After 6/30","Remain Open for the entire year",NA
"484",484,"Riverside SD 96","Cook","After 6/30","Remain Open for the entire year",NA
"485",485,"Comm Cons SD 59","Cook","After 6/30","Remain Open for the entire year",NA
"486",486,"River Forest SD 90","Cook","After 6/30","Remain Open for the entire year",NA
"487",487,"Sunset Ridge SD 29","Cook","After 6/30","Remain Open for the entire year",NA
"488",488,"Oak Park   River Forest SD 200","Cook","After 6/30","Remain Open for the entire year",NA
"489",489,"Leyden CHSD 212","Cook","After 6/30","Remain Open for the entire year",NA
"490",490,"South Holland SD 150","Cook","After 6/30","Remain Open for the entire year",NA
"491",491,"Glencoe SD 35","Cook","After 6/30","Remain Open for the entire year",NA
"492",492,"Winnetka SD 36","Cook","After 6/30","Remain Open for the entire year",NA
"493",493,"Mannheim SD 83","Cook","After 6/30","Remain Open for the entire year",NA
"494",494,"Fairview SD 72","Cook","After 6/30","Remain Open for the entire year",NA
"495",495,"Niles ESD 71","Cook","After 6/30","Remain Open for the entire year",NA
"496",496,"Morton Grove SD 70","Cook","After 6/30","Remain Open for the entire year",NA
"497",497,"Alsip Hazlgrn Oaklwn SD 126","Cook","After 6/30","Remain Open for the entire year",NA
"498",498,"Robinson CUSD 2","Crawford","After 6/30","Remain Open for the entire year",NA
"499",499,"Genoa Kingston CUSD 424","Dekalb","After 6/30","Remain Open for the entire year",NA
"500",500,"Somonauk CUSD 432","Dekalb","After 6/30","Remain Open for the entire year",NA
"501",501,"Hiawatha CUSD 426","Dekalb","After 6/30","Remain Open for the entire year",NA
"502",502,"Hinckley Big Rock CUSD 429","Dekalb","After 6/30","Remain Open for the entire year",NA
"503",503,"Indian Creek CUSD 425","Dekalb","After 6/30","Remain Open for the entire year",NA
"504",504,"Blue Ridge CUSD 18","Dewitt","After 6/30","Remain Open for the entire year",NA
"505",505,"Clinton CUSD 15","Dewitt","After 6/30","Remain Open for the entire year",NA
"506",506,"Tuscola CUSD 301","Douglas","After 6/30","Remain Open for the entire year",NA
"507",507,"Arcola CUSD 306","Douglas","After 6/30","Remain Open for the entire year",NA
"508",508,"Hinsdale Twp HSD 86","Dupage","After 6/30","Remain Open for the entire year",NA
"509",509,"CUSD 200","Dupage","After 6/30","Remain Open for the entire year",NA
"510",510,"Cass SD 63","Dupage","After 6/30","Remain Open for the entire year",NA
"511",511,"Du Page HSD 88","Dupage","After 6/30","Remain Open for the entire year",NA
"512",512,"Keeneyville SD 20","Dupage","After 6/30","Remain Open for the entire year",NA
"513",513,"Indian Prairie CUSD 204","Dupage","After 6/30","Remain Open for the entire year",NA
"514",514,"West Chicago ESD 33","Dupage","After 6/30","Remain Open for the entire year",NA
"515",515,"Fenton CHSD 100","Dupage","After 6/30","Remain Open for the entire year",NA
"516",516,"Glen Ellyn SD 41","Dupage","After 6/30","Remain Open for the entire year",NA
"517",517,"Roselle SD 12","Dupage","After 6/30","Remain Open for the entire year",NA
"518",518,"SD 45 DuPage County","Dupage","After 6/30","Remain Open for the entire year",NA
"519",519,"Lake Park CHSD 108","Dupage","After 6/30","Remain Open for the entire year",NA
"520",520,"Downers Grove SD 58","Dupage","After 6/30","Remain Open for the entire year",NA
"521",521,"CCSD 180","Dupage","After 6/30","Remain Open for the entire year",NA
"522",522,"Hinsdale CCSD 181","Dupage","After 6/30","Remain Open for the entire year",NA
"523",523,"Darien SD 61","Dupage","After 6/30","Remain Open for the entire year",NA
"524",524,"CUSD 201","Dupage","After 6/30","Remain Open for the entire year",NA
"525",525,"Elmhurst SD 205","Dupage","After 6/30","Remain Open for the entire year",NA
"526",526,"CHSD 94","Dupage","After 6/30","Remain Open for the entire year",NA
"527",527,"Salt Creek SD 48","Dupage","After 6/30","Remain Open for the entire year",NA
"528",528,"Glenbard Twp HSD 87","Dupage","After 6/30","Remain Open for the entire year",NA
"529",529,"Wood Dale SD 7","Dupage","After 6/30","Remain Open for the entire year",NA
"530",530,"Downers Grove GSD 58","Dupage","After 6/30","Remain Open for the entire year",NA
"531",531,"CCSD 89","Dupage","After 6/30","Remain Open for the entire year",NA
"532",532,"Maercker SD 60","Dupage","After 6/30","Remain Open for the entire year",NA
"533",533,"Butler SD 53","Dupage","After 6/30","Remain Open for the entire year",NA
"534",534,"Winfield SD 34","Dupage","After 6/30","Remain Open for the entire year",NA
"535",535,"Naperville CUSD 203","Dupage","After 6/30","Remain Open for the entire year",NA
"536",536,"Addison SD 4","Dupage","After 6/30","Remain Open for the entire year",NA
"537",537,"Center Cass SD 66","Dupage","After 6/30","Remain Open for the entire year",NA
"538",538,"Marquardt SD 15","Dupage","After 6/30","Remain Open for the entire year",NA
"539",539,"CCSD 93","Dupage","After 6/30","Remain Open for the entire year",NA
"540",540,"Benjamin SD 25","Dupage","After 6/30","Remain Open for the entire year",NA
"541",541,"Lombard SD 44","Dupage","After 6/30","Remain Open for the entire year",NA
"542",542,"Bloomingdale SD 13","Dupage","After 6/30","Remain Open for the entire year",NA
"543",543,"Gower SD 62","Dupage","After 6/30","Remain Open for the entire year",NA
"544",544,"Itasca SD 10","Dupage","After 6/30","Remain Open for the entire year",NA
"545",545,"Woodridge SD 68","Dupage","After 6/30","Remain Open for the entire year",NA
"546",546,"Medinah SD 11","Dupage","After 6/30","Remain Open for the entire year",NA
"547",547,"Lisle CUSD 202","Dupage","After 6/30","Remain Open for the entire year",NA
"548",548,"Kansas CUSD 3","Edgar","After 6/30","Remain Open for the entire year",NA
"549",549,"Shiloh CUSD 1","Edgar","After 6/30","Remain Open for the entire year",NA
"550",550,"Effingham CUSD 40","Effingham","After 6/30","Remain Open for the entire year",NA
"551",551,"Dieterich CUSD 30","Effingham","After 6/30","Remain Open for the entire year",NA
"552",552,"Teutopolis CUSD 50","Effingham","After 6/30","Remain Open for the entire year",NA
"553",553,"Beecher City CUSD 20","Effingham","After 6/30","Remain Open for the entire year",NA
"554",554,"Paxton Buckley Loda CUD 10","Ford","After 6/30","Remain Open for the entire year",NA
"555",555,"Gibson City Melvin Sibley CUSD 5","Ford","After 6/30","Remain Open for the entire year",NA
"556",556,"Akin CCSD 91","Franklin","After 6/30","Remain Open for the entire year",NA
"557",557,"Astoria CUSD 1","Fulton","After 6/30","Remain Open for the entire year",NA
"558",558,"Canton Union SD 66","Fulton","After 6/30","Remain Open for the entire year",NA
"559",559,"Spoon River Valley CUSD 4","Fulton","After 6/30","Remain Open for the entire year",NA
"560",560,"V I T CUSD 2","Fulton","After 6/30","Remain Open for the entire year",NA
"561",561,"Minooka CCSD 201","Grundy","After 6/30","Remain Open for the entire year",NA
"562",562,"Coal City CUSD 1","Grundy","After 6/30","Remain Open for the entire year",NA
"563",563,"Saratoga CCSD 60C","Grundy","After 6/30","Remain Open for the entire year",NA
"564",564,"Gardner CCSD 72C","Grundy","After 6/30","Remain Open for the entire year",NA
"565",565,"Mazon Verona Kinsman ESD 2C","Grundy","After 6/30","Remain Open for the entire year",NA
"566",566,"Minooka CHSD 111","Grundy","After 6/30","Remain Open for the entire year",NA
"567",567,"NETTLE CREEK C C SCH DIST 24C","Grundy","After 6/30","Remain Open for the entire year",NA
"568",568,"Nauvoo Colusa CUSD 325","Hancock","After 6/30","Remain Open for the entire year",NA
"569",569,"Illini West H S Dist 307","Hancock","After 6/30","Remain Open for the entire year",NA
"570",570,"Carthage ESD 317","Hancock","After 6/30","Remain Open for the entire year",NA
"571",571,"West Central CUSD 235","Henderson","After 6/30","Remain Open for the entire year",NA
"572",572,"AlWood CUSD 225","Henry","After 6/30","Remain Open for the entire year",NA
"573",573,"Orion CUSD 223","Henry","After 6/30","Remain Open for the entire year",NA
"574",574,"Galva CUSD 224","Henry","After 6/30","Remain Open for the entire year",NA
"575",575,"Annawan CUSD 226","Henry","After 6/30","Remain Open for the entire year",NA
"576",576,"Iroquois County CUSD 9","Iroquois","After 6/30","Remain Open for the entire year",NA
"577",577,"Crescent Iroquois CUSD 249","Iroquois","After 6/30","Remain Open for the entire year",NA
"578",578,"Iroquois West CUSD 10","Iroquois","After 6/30","Remain Open for the entire year",NA
"579",579,"Milford Area PSD 124","Iroquois","After 6/30","Remain Open for the entire year",NA
"580",580,"Cissna Park CUSD 6","Iroquois","After 6/30","Remain Open for the entire year",NA
"581",581,"Giant City CCSD 130","Jackson","After 6/30","Remain Open for the entire year",NA
"582",582,"Carbondale CHSD 165","Jackson","After 6/30","Remain Open for the entire year",NA
"583",583,"Carbondale ESD 95","Jackson","After 6/30","Remain Open for the entire year",NA
"584",584,"Bethel SD 82","Jefferson","After 6/30","Remain Open for the entire year",NA
"585",585,"Summersville SD 79","Jefferson","After 6/30","Remain Open for the entire year",NA
"586",586,"Rome CCSD 2","Jefferson","After 6/30","Remain Open for the entire year",NA
"587",587,"Opdyke Belle Rive CCSD 5","Jefferson","After 6/30","Remain Open for the entire year",NA
"588",588,"Bluford Unit SD 318","Jefferson","After 6/30","Remain Open for the entire year",NA
"589",589,"Galena USD 120","Jo Daviess","After 6/30","Remain Open for the entire year",NA
"590",590,"East Dubuque USD 119","Jo Daviess","After 6/30","Remain Open for the entire year",NA
"591",591,"Warren CUSD 205","Jo Daviess","After 6/30","Remain Open for the entire year",NA
"592",592,"Stockton CUSD 206","Jo Daviess","After 6/30","Remain Open for the entire year",NA
"593",593,"River Ridge CUSD 210","Jo Daviess","After 6/30","Remain Open for the entire year",NA
"594",594,"Scales Mound CUSD 211","Jo Daviess","After 6/30","Remain Open for the entire year",NA
"595",595,"Goreville CUD 1","Johnson","After 6/30","Remain Open for the entire year",NA
"596",596,"CUSD 300","Kane","After 6/30","Remain Open for the entire year",NA
"597",597,"Batavia USD 101","Kane","After 6/30","Remain Open for the entire year",NA
"598",598,"Central CUSD 301","Kane","After 6/30","Remain Open for the entire year",NA
"599",599,"St Charles CUSD 303","Kane","After 6/30","Remain Open for the entire year",NA
"600",600,"Geneva CUSD 304","Kane","After 6/30","Remain Open for the entire year",NA
"601",601,"Manteno CUSD 5","Kankakee","After 6/30","Remain Open for the entire year",NA
"602",602,"Bradley Bourbonnais CHSD 307","Kankakee","After 6/30","Remain Open for the entire year",NA
