"","X","School","County","Date","Days","days"
"603",603,"Herscher CUSD 2","Kankakee","After 6/30","Remain Open for the entire year",NA
"604",604,"Grant Park CUSD 6","Kankakee","After 6/30","Remain Open for the entire year",NA
"605",605,"St Anne CHSD 302","Kankakee","After 6/30","Remain Open for the entire year",NA
"606",606,"Plano CUSD 88","Kendall","After 6/30","Remain Open for the entire year",NA
"607",607,"Yorkville CUSD 115","Kendall","After 6/30","Remain Open for the entire year",NA
"608",608,"Lisbon CCSD 90","Kendall","After 6/30","Remain Open for the entire year",NA
"609",609,"Newark CCSD 66","Kendall","After 6/30","Remain Open for the entire year",NA
"610",610,"Newark CHSD 18","Kendall","After 6/30","Remain Open for the entire year",NA
"611",611,"R O W V A CUSD 208","Knox","After 6/30","Remain Open for the entire year",NA
"612",612,"Knoxville CUSD 202","Knox","After 6/30","Remain Open for the entire year",NA
"613",613,"Abingdon Avon CUSD 276","Knox","After 6/30","Remain Open for the entire year",NA
"614",614,"Williamsfield CUSD 210","Knox","After 6/30","Remain Open for the entire year",NA
"615",615,"Grayslake CCSD 46","Lake","After 6/30","Remain Open for the entire year",NA
"616",616,"Lake Forest CHSD 115","Lake","After 6/30","Remain Open for the entire year",NA
"617",617,"Lake Forest SD 67","Lake","After 6/30","Remain Open for the entire year",NA
"618",618,"Fox Lake GSD 114","Lake","After 6/30","Remain Open for the entire year",NA
"619",619,"Grayslake CHSD 127","Lake","After 6/30","Remain Open for the entire year",NA
"620",620,"Barrington CUSD 220","Lake","After 6/30","Remain Open for the entire year",NA
"621",621,"Wauconda CUSD 118","Lake","After 6/30","Remain Open for the entire year",NA
"622",622,"Lake Villa CCSD 41","Lake","After 6/30","Remain Open for the entire year",NA
"623",623,"Warren Twp HSD 121","Lake","After 6/30","Remain Open for the entire year",NA
"624",624,"Deerfield SD 109","Lake","After 6/30","Remain Open for the entire year",NA
"625",625,"Woodland CCSD 50","Lake","After 6/30","Remain Open for the entire year",NA
"626",626,"Zion Benton Twp HSD 126","Lake","After 6/30","Remain Open for the entire year",NA
"627",627,"Antioch CCSD 34","Lake","After 6/30","Remain Open for the entire year",NA
"628",628,"North Shore SD 112","Lake","After 6/30","Remain Open for the entire year",NA
"629",629,"Mundelein ESD 75","Lake","After 6/30","Remain Open for the entire year",NA
"630",630,"Winthrop Harbor SD 1","Lake","After 6/30","Remain Open for the entire year",NA
"631",631,"CHSD 117","Lake","After 6/30","Remain Open for the entire year",NA
"632",632,"Mundelein Cons HSD 120","Lake","After 6/30","Remain Open for the entire year",NA
"633",633,"Diamond Lake SD 76","Lake","After 6/30","Remain Open for the entire year",NA
"634",634,"Twp HSD 113","Lake","After 6/30","Remain Open for the entire year",NA
"635",635,"Rondout SD 72","Lake","After 6/30","Remain Open for the entire year",NA
"636",636,"Lake Zurich CUSD 95","Lake","After 6/30","Remain Open for the entire year",NA
"637",637,"Hawthorn CCSD 73","Lake","After 6/30","Remain Open for the entire year",NA
"638",638,"Gurnee SD 56","Lake","After 6/30","Remain Open for the entire year",NA
"639",639,"Emmons SD 33","Lake","After 6/30","Remain Open for the entire year",NA
"640",640,"Grass Lake SD 36","Lake","After 6/30","Remain Open for the entire year",NA
"641",641,"Libertyville SD 70","Lake","After 6/30","Remain Open for the entire year",NA
"642",642,"Lincolnshire Prairieview SD 103","Lake","After 6/30","Remain Open for the entire year",NA
"643",643,"Fremont SD 79","Lake","After 6/30","Remain Open for the entire year",NA
"644",644,"Aptakisic Tripp CCSD 102","Lake","After 6/30","Remain Open for the entire year",NA
"645",645,"CHSD 128","Lake","After 6/30","Remain Open for the entire year",NA
"646",646,"Adlai E Stevenson HSD 125","Lake","After 6/30","Remain Open for the entire year",NA
"647",647,"Grant CHSD 124","Lake","After 6/30","Remain Open for the entire year",NA
"648",648,"Kildeer Countryside CCSD 96","Lake","After 6/30","Remain Open for the entire year",NA
"649",649,"Bannockburn SD 106","Lake","After 6/30","Remain Open for the entire year",NA
"650",650,"Marseilles ESD 150","LaSalle","After 6/30","Remain Open for the entire year",NA
"651",651,"Mendota CCSD 289","LaSalle","After 6/30","Remain Open for the entire year",NA
"652",652,"Tonica CCSD 79","LaSalle","After 6/30","Remain Open for the entire year",NA
"653",653,"La Salle Peru Twp HSD 120","LaSalle","After 6/30","Remain Open for the entire year",NA
"654",654,"Wallace CCSD 195","LaSalle","After 6/30","Remain Open for the entire year",NA
"655",655,"Lostant CUSD 425","LaSalle","After 6/30","Remain Open for the entire year",NA
"656",656,"Ottawa Twp HSD 140","LaSalle","After 6/30","Remain Open for the entire year",NA
"657",657,"Grand Ridge CCSD 95","LaSalle","After 6/30","Remain Open for the entire year",NA
"658",658,"Allen Otter Creek CCSD 65","LaSalle","After 6/30","Remain Open for the entire year",NA
"659",659,"Mendota Twp HSD 280","LaSalle","After 6/30","Remain Open for the entire year",NA
"660",660,"Rutland CCSD 230","LaSalle","After 6/30","Remain Open for the entire year",NA
"661",661,"Seneca Twp HSD 160","LaSalle","After 6/30","Remain Open for the entire year",NA
"662",662,"Waltham CCSD 185","LaSalle","After 6/30","Remain Open for the entire year",NA
"663",663,"Leland CUSD 1","LaSalle","After 6/30","Remain Open for the entire year",NA
"664",664,"Serena CUSD 2","LaSalle","After 6/30","Remain Open for the entire year",NA
"665",665,"Deer Park CCSD 82","LaSalle","After 6/30","Remain Open for the entire year",NA
"666",666,"Dimmick CCSD 175","LaSalle","After 6/30","Remain Open for the entire year",NA
"667",667,"Dwight Twp HSD 230","LaSalle","After 6/30","Remain Open for the entire year",NA
"668",668,"Seneca CCSD 170","LaSalle","After 6/30","Remain Open for the entire year",NA
"669",669,"Paw Paw CUSD 271","Lee","After 6/30","Remain Open for the entire year",NA
"670",670,"Steward ESD 220","Lee","After 6/30","Remain Open for the entire year",NA
"671",671,"Ashton Franklin Center CUSD 275","Lee","After 6/30","Remain Open for the entire year",NA
"672",672,"Amboy CUSD 272","Lee","After 6/30","Remain Open for the entire year",NA
"673",673,"Dwight Twp HSD 232","Livingston","After 6/30","Remain Open for the entire year",NA
"674",674,"Odell CCSD 435","Livingston","After 6/30","Remain Open for the entire year",NA
"675",675,"Cornell CCSD 426","Livingston","After 6/30","Remain Open for the entire year",NA
"676",676,"Saunemin CCSD 438","Livingston","After 6/30","Remain Open for the entire year",NA
"677",677,"Rooks Creek CCSD 425","Livingston","After 6/30","Remain Open for the entire year",NA
"678",678,"Mt Pulaski CUSD 23","Logan","After 6/30","Remain Open for the entire year",NA
"679",679,"West Lincoln Broadwell ESD 92","Logan","After 6/30","Remain Open for the entire year",NA
"680",680,"Chester East Lincoln CCSD 61","Logan","After 6/30","Remain Open for the entire year",NA
"681",681,"Hartsburg Emden CUSD 21","Logan","After 6/30","Remain Open for the entire year",NA
"682",682,"Lincoln CHSD 404","Logan","After 6/30","Remain Open for the entire year",NA
"683",683,"New Holland Middletown ED 88","Logan","After 6/30","Remain Open for the entire year",NA
"684",684,"Sangamon Valley CUSD 9","Macon","After 6/30","Remain Open for the entire year",NA
"685",685,"Northwestern CUSD 2","Macoupin","After 6/30","Remain Open for the entire year",NA
"686",686,"Wood River Hartford ESD 15","Madison","After 6/30","Remain Open for the entire year",NA
"687",687,"Venice CUSD 3","Madison","After 6/30","Remain Open for the entire year",NA
"688",688,"East Alton SD 13","Madison","After 6/30","Remain Open for the entire year",NA
"689",689,"Roxana CUSD 1","Madison","After 6/30","Remain Open for the entire year",NA
"690",690,"Raccoon Cons SD 1","Marion","After 6/30","Remain Open for the entire year",NA
"691",691,"Salem CHSD 600","Marion","After 6/30","Remain Open for the entire year",NA
"692",692,"Selmaville CCSD 10","Marion","After 6/30","Remain Open for the entire year",NA
"693",693,"Patoka CUSD 100","Marion","After 6/30","Remain Open for the entire year",NA
"694",694,"Midland CUSD 7","Marshall","After 6/30","Remain Open for the entire year",NA
"695",695,"Henry Senachwine CUSD 5","Marshall","After 6/30","Remain Open for the entire year",NA
"696",696,"Havana CUSD 126","Mason","After 6/30","Remain Open for the entire year",NA
"697",697,"Illini Central CUSD 189","Mason","After 6/30","Remain Open for the entire year",NA
"698",698,"Joppa Maple Grove UD 38","Mason","After 6/30","Remain Open for the entire year",NA
"699",699,"West Prairie CUSD 103","McDonough","After 6/30","Remain Open for the entire year",NA
"700",700,"Macomb CUSD 185","McDonough","After 6/30","Remain Open for the entire year",NA
"701",701,"HUNTLEY CONS SCHOOL DIST 158","McHenry","After 6/30","Remain Open for the entire year",NA
"702",702,"Harvard CUSD 50","McHenry","After 6/30","Remain Open for the entire year",NA
"703",703,"Cary CCSD 26","McHenry","After 6/30","Remain Open for the entire year",NA
"704",704,"Woodstock CUSD 200","McHenry","After 6/30","Remain Open for the entire year",NA
"705",705,"Marengo Union E Cons D 165","McHenry","After 6/30","Remain Open for the entire year",NA
"706",706,"CHSD 155","McHenry","After 6/30","Remain Open for the entire year",NA
"707",707,"McHenry CHSD 156","McHenry","After 6/30","Remain Open for the entire year",NA
"708",708,"Crystal Lake CCSD 47","McHenry","After 6/30","Remain Open for the entire year",NA
"709",709,"Fox River Grove Cons SD 3","McHenry","After 6/30","Remain Open for the entire year",NA
"710",710,"Nippersink SD 2","McHenry","After 6/30","Remain Open for the entire year",NA
"711",711,"Alden Hebron SD 19","McHenry","After 6/30","Remain Open for the entire year",NA
"712",712,"McHenry CCSD 15","McHenry","After 6/30","Remain Open for the entire year",NA
"713",713,"Richmond Burton CHSD 157","McHenry","After 6/30","Remain Open for the entire year",NA
"714",714,"Prairie Grove CSD 46","McHenry","After 6/30","Remain Open for the entire year",NA
"715",715,"Marengo CHSD 154","McHenry","After 6/30","Remain Open for the entire year",NA
"716",716,"Harrison SD 36","McHenry","After 6/30","Remain Open for the entire year",NA
"717",717,"Riley CCSD 18","McHenry","After 6/30","Remain Open for the entire year",NA
"718",718,"Heyworth CUSD 4","McLean","After 6/30","Remain Open for the entire year",NA
"719",719,"Lexington CUSD 7","McLean","After 6/30","Remain Open for the entire year",NA
"720",720,"LeRoy CUSD 2","McLean","After 6/30","Remain Open for the entire year",NA
"721",721,"Bloomington SD 87","McLean","After 6/30","Remain Open for the entire year",NA
"722",722,"Tri Valley CUSD 3","McLean","After 6/30","Remain Open for the entire year",NA
"723",723,"Ridgeview CUSD 19","McLean","After 6/30","Remain Open for the entire year",NA
"724",724,"Greenview CUSD 200","Menard","After 6/30","Remain Open for the entire year",NA
"725",725,"Mercer County School District 404","Mercer","After 6/30","Remain Open for the entire year",NA
"726",726,"Waterloo CUSD 5","Monroe","After 6/30","Remain Open for the entire year",NA
"727",727,"Columbia CUSD 4","Monroe","After 6/30","Remain Open for the entire year",NA
"728",728,"Triopia CUSD 27","Morgan","After 6/30","Remain Open for the entire year",NA
"729",729,"Jacksonville SD 117","Morgan","After 6/30","Remain Open for the entire year",NA
"730",730,"Meredosia Chambersburg CUSD 11","Morgan","After 6/30","Remain Open for the entire year",NA
"731",731,"Waverly CUSD 6","Morgan","After 6/30","Remain Open for the entire year",NA
"732",732,"Franklin CUSD 1","Morgan","After 6/30","Remain Open for the entire year",NA
"733",733,"Sullivan CUSD 300","Moultrie","After 6/30","Remain Open for the entire year",NA
"734",734,"Okaw Valley CUSD 302","Moultrie","After 6/30","Remain Open for the entire year",NA
"735",735,"Meridian CUSD 223","Ogle","After 6/30","Remain Open for the entire year",NA
"736",736,"Rochelle CCSD 231","Ogle","After 6/30","Remain Open for the entire year",NA
"737",737,"Creston CCSD 161","Ogle","After 6/30","Remain Open for the entire year",NA
"738",738,"Forrestville Valley CUSD 221","Ogle","After 6/30","Remain Open for the entire year",NA
"739",739,"Oregon CUSD 220","Ogle","After 6/30","Remain Open for the entire year",NA
"740",740,"Polo CUSD 222","Ogle","After 6/30","Remain Open for the entire year",NA
"741",741,"Kings Cons SD 144","Ogle","After 6/30","Remain Open for the entire year",NA
"742",742,"Eswood CCSD 269","Ogle","After 6/30","Remain Open for the entire year",NA
"743",743,"Byron CUSD 226","Ogle","After 6/30","Remain Open for the entire year",NA
"744",744,"Rochelle Twp HSD 212","Ogle","After 6/30","Remain Open for the entire year",NA
"745",745,"Oak Grove SD 68","Peoria","After 6/30","Remain Open for the entire year",NA
"746",746,"Norwood ESD 63","Peoria","After 6/30","Remain Open for the entire year",NA
"747",747,"Elmwood CUSD 322","Peoria","After 6/30","Remain Open for the entire year",NA
"748",748,"Il Valley Central USD 321","Peoria","After 6/30","Remain Open for the entire year",NA
"749",749,"Brimfield CUSD 309","Peoria","After 6/30","Remain Open for the entire year",NA
"750",750,"Illini Bluffs CUSD 327","Peoria","After 6/30","Remain Open for the entire year",NA
"751",751,"Farmington Central CUSD 265","Peoria","After 6/30","Remain Open for the entire year",NA
"752",752,"Pleasant Valley SD 62","Peoria","After 6/30","Remain Open for the entire year",NA
"753",753,"Peoria Heights CUSD 325","Peoria","After 6/30","Remain Open for the entire year",NA
"754",754,"Monroe SD 70","Peoria","After 6/30","Remain Open for the entire year",NA
"755",755,"Bartonville SD 66","Peoria","After 6/30","Remain Open for the entire year",NA
"756",756,"DUNLAP C U SCHOOL DIST 323","Peoria","After 6/30","Remain Open for the entire year",NA
"757",757,"Limestone Walters CCSD 316","Peoria","After 6/30","Remain Open for the entire year",NA
"758",758,"Hollis Cons SD 328","Peoria","After 6/30","Remain Open for the entire year",NA
"759",759,"CCSD 204","Perry","After 6/30","Remain Open for the entire year",NA
"760",760,"Monticello CUSD 25","Piatt","After 6/30","Remain Open for the entire year",NA
"761",761,"Putnam County CUSD 535","Putnam","After 6/30","Remain Open for the entire year",NA
"762",762,"Red Bud CUSD 132","Randolph","After 6/30","Remain Open for the entire year",NA
"763",763,"Chester N HSD 122","Randolph","After 6/30","Remain Open for the entire year",NA
"764",764,"East Richland CUSD 1","Richland","After 6/30","Remain Open for the entire year",NA
"765",765,"Sherrard CUSD 200","Rock Island","After 6/30","Remain Open for the entire year",NA
"766",766,"Rockridge CUSD 300","Rock Island","After 6/30","Remain Open for the entire year",NA
"767",767,"United Twp HSD 30","Rock Island","After 6/30","Remain Open for the entire year",NA
"768",768,"Moline Coal Valley CUSD 40","Rock Island","After 6/30","Remain Open for the entire year",NA
"769",769,"Silvis SD 34","Rock Island","After 6/30","Remain Open for the entire year",NA
"770",770,"Hampton SD 29","Rock Island","After 6/30","Remain Open for the entire year",NA
"771",771,"East Moline SD 37","Rock Island","After 6/30","Remain Open for the entire year",NA
"772",772,"Auburn CUSD 10","Sangamon","After 6/30","Remain Open for the entire year",NA
"773",773,"Riverton CUSD 14","Sangamon","After 6/30","Remain Open for the entire year",NA
"774",774,"Pleasant Plains CUSD 8","Sangamon","After 6/30","Remain Open for the entire year",NA
"775",775,"New Berlin CUSD 16","Sangamon","After 6/30","Remain Open for the entire year",NA
"776",776,"Pawnee CUSD 11","Sangamon","After 6/30","Remain Open for the entire year",NA
"777",777,"Scott Morgan CUSD 2","Scott","After 6/30","Remain Open for the entire year",NA
"778",778,"Shelbyville CUSD 4","Shelby","After 6/30","Remain Open for the entire year",NA
"779",779,"Windsor CUSD 1","Shelby","After 6/30","Remain Open for the entire year",NA
"780",780,"Central SD 104","St Clair","After 6/30","Remain Open for the entire year",NA
"781",781,"Belle Valley SD 119","St Clair","After 6/30","Remain Open for the entire year",NA
"782",782,"Mascoutah CUD 19","St Clair","After 6/30","Remain Open for the entire year",NA
"783",783,"Wolf Branch SD 113","St Clair","After 6/30","Remain Open for the entire year",NA
"784",784,"Lebanon CUSD 9","St Clair","After 6/30","Remain Open for the entire year",NA
"785",785,"Pontiac W Holliday SD 105","St Clair","After 6/30","Remain Open for the entire year",NA
"786",786,"Freeburg CCSD 70","St Clair","After 6/30","Remain Open for the entire year",NA
"787",787,"Signal Hill SD 181","St Clair","After 6/30","Remain Open for the entire year",NA
"788",788,"Smithton CCSD 130","St Clair","After 6/30","Remain Open for the entire year",NA
"789",789,"Bradford CUSD 1","Stark","After 6/30","Remain Open for the entire year",NA
"790",790,"Stark County CUSD 100","Stark","After 6/30","Remain Open for the entire year",NA
"791",791,"Lena Winslow CUSD 202","Stephenson","After 6/30","Remain Open for the entire year",NA
"792",792,"Tremont CUSD 702","Tazewell","After 6/30","Remain Open for the entire year",NA
"793",793,"District 50 Schools","Tazewell","After 6/30","Remain Open for the entire year",NA
"794",794,"Delavan CUSD 703","Tazewell","After 6/30","Remain Open for the entire year",NA
"795",795,"N Pekin & Marquette Hght SD 102","Tazewell","After 6/30","Remain Open for the entire year",NA
"796",796,"Creve Coeur SD 76","Tazewell","After 6/30","Remain Open for the entire year",NA
"797",797,"Washington CHSD 308","Tazewell","After 6/30","Remain Open for the entire year",NA
"798",798,"East Peoria SD 86","Tazewell","After 6/30","Remain Open for the entire year",NA
"799",799,"Central SD 51","Tazewell","After 6/30","Remain Open for the entire year",NA
"800",800,"Pekin CSD 303","Tazewell","After 6/30","Remain Open for the entire year",NA
"801",801,"Morton CUSD 709","Tazewell","After 6/30","Remain Open for the entire year",NA
"802",802,"Rankin CSD 98","Tazewell","After 6/30","Remain Open for the entire year",NA
"803",803,"Robein SD 85","Tazewell","After 6/30","Remain Open for the entire year",NA
"804",804,"Potomac CUSD 10","Vermilion","After 6/30","Remain Open for the entire year",NA
"805",805,"Armstrong Ellis Cons SD 61","Vermilion","After 6/30","Remain Open for the entire year",NA
"806",806,"Armstrong Twp HSD 225","Vermilion","After 6/30","Remain Open for the entire year",NA
"807",807,"Nashville CCSD 49","Washington","After 6/30","Remain Open for the entire year",NA
"808",808,"Nashville CHSD 99","Washington","After 6/30","Remain Open for the entire year",NA
"809",809,"West Washington Co CUD 10","Washington","After 6/30","Remain Open for the entire year",NA
"810",810,"Jasper CCSD 17","Wayne","After 6/30","Remain Open for the entire year",NA
"811",811,"Fairfield PSD 112","Wayne","After 6/30","Remain Open for the entire year",NA
"812",812,"North Wayne CUSD 200","Wayne","After 6/30","Remain Open for the entire year",NA
"813",813,"Geff CCSD 14","Wayne","After 6/30","Remain Open for the entire year",NA
"814",814,"Montmorency CCSD 145","Whiteside","After 6/30","Remain Open for the entire year",NA
"815",815,"Morrison CUSD 6","Whiteside","After 6/30","Remain Open for the entire year",NA
"816",816,"Rock Falls Twp HSD 301","Whiteside","After 6/30","Remain Open for the entire year",NA
"817",817,"Erie CUSD 1","Whiteside","After 6/30","Remain Open for the entire year",NA
"818",818,"Rockdale SD 84","Will","After 6/30","Remain Open for the entire year",NA
"819",819,"Fairmont SD 89","Will","After 6/30","Remain Open for the entire year",NA
"820",820,"Manhattan SD 114","Will","After 6/30","Remain Open for the entire year",NA
"821",821,"Joliet Twp HSD 204","Will","After 6/30","Remain Open for the entire year",NA
"822",822,"Richland GSD 88A","Will","After 6/30","Remain Open for the entire year",NA
"823",823,"New Lenox SD 122","Will","After 6/30","Remain Open for the entire year",NA
"824",824,"Homer CCSD 33C","Will","After 6/30","Remain Open for the entire year",NA
"825",825,"Lockport SD 91","Will","After 6/30","Remain Open for the entire year",NA
"826",826,"Summit Hill SD 161","Will","After 6/30","Remain Open for the entire year",NA
"827",827,"Mokena SD 159","Will","After 6/30","Remain Open for the entire year",NA
"828",828,"Union SD 81","Will","After 6/30","Remain Open for the entire year",NA
"829",829,"Will County SD 92","Will","After 6/30","Remain Open for the entire year",NA
"830",830,"Lockport Twp HSD 205","Will","After 6/30","Remain Open for the entire year",NA
"831",831,"Wilmington CUSD 209U","Will","After 6/30","Remain Open for the entire year",NA
"832",832,"Reed Custer CUSD 255U","Will","After 6/30","Remain Open for the entire year",NA
"833",833,"Troy CCSD 30C","Will","After 6/30","Remain Open for the entire year",NA
"834",834,"Elwood CCSD 203","Will","After 6/30","Remain Open for the entire year",NA
"835",835,"Beecher CUSD 200U","Will","After 6/30","Remain Open for the entire year",NA
"836",836,"Laraway CCSD 70C","Will","After 6/30","Remain Open for the entire year",NA
"837",837,"Frankfort CCSD 157C","Will","After 6/30","Remain Open for the entire year",NA
"838",838,"Channahon SD 17","Will","After 6/30","Remain Open for the entire year",NA
"839",839,"Rockton SD 140","Winnebago","After 6/30","Remain Open for the entire year",NA
"840",840,"County of Winnebago SD 320","Winnebago","After 6/30","Remain Open for the entire year",NA
"841",841,"Hononegah CHD 207","Winnebago","After 6/30","Remain Open for the entire year",NA
"842",842,"Kinnikinnick CCSD 131","Winnebago","After 6/30","Remain Open for the entire year",NA
"843",843,"Prairie Hill CCSD 133","Winnebago","After 6/30","Remain Open for the entire year",NA
"844",844,"Winnebago CUSD 323","Winnebago","After 6/30","Remain Open for the entire year",NA
"845",845,"Durand CUSD 322","Winnebago","After 6/30","Remain Open for the entire year",NA
"846",846,"Pecatonica CUSD 321","Winnebago","After 6/30","Remain Open for the entire year",NA
"847",847,"Shirland CCSD 134","Winnebago","After 6/30","Remain Open for the entire year",NA
"848",848,"Eureka CUD 140","Woodford","After 6/30","Remain Open for the entire year",NA
"849",849,"Riverview CCSD 2","Woodford","After 6/30","Remain Open for the entire year",NA
"850",850,"Roanoke Benson CUSD 60","Woodford","After 6/30","Remain Open for the entire year",NA
"851",851,"County of Woodford School","Woodford","After 6/30","Remain Open for the entire year",NA
"852",852,"Germantown Hills SD 69","Woodford","After 6/30","Remain Open for the entire year",NA
