Institution,Awards,Payout,Type,Year
Chicago State University,"2,754","$7,442,355 ",Public - 4 year,2010-2011
Eastern Illinois University,"3,040","$10,947,684 ",Public - 4 year,2010-2011
Governors State University,976,"$2,175,555 ",Public - 4 year,2010-2011
Illinois State University,"4,239","$15,315,482 ",Public - 4 year,2010-2011
Northeastern Illinois Univ.,"3,263","$8,959,610 ",Public - 4 year,2010-2011
Northern Illinois University,"6,066","$22,346,873 ",Public - 4 year,2010-2011
Southern Illinois-Carbondale,"4,284","$15,582,637 ",Public - 4 year,2010-2011
Southern Illinois-Edwardsville,"2,676","$7,850,476 ",Public - 4 year,2010-2011
University of Illinois-Chicago,"7,207","$28,528,619 ",Public - 4 year,2010-2011
University of Illinois-Springfield,839,"$2,801,086 ",Public - 4 year,2010-2011
University of Illinois-Urbana,"6,516","$27,502,999 ",Public - 4 year,2010-2011
Western Illinois University,"2,883","$10,528,194 ",Public - 4 year,2010-2011
Augustana College,627,"$2,915,833 ",Private-4 year,2010-2011
Aurora University,"1,089","$4,470,536 ",Private-4 year,2010-2011
Benedictine University,"1,422","$5,315,957 ",Private-4 year,2010-2011
Blackburn College,300,"$1,242,984 ",Private-4 year,2010-2011
Bradley University,"1,589","$6,879,084 ",Private-4 year,2010-2011
Columbia College,"2,815","$10,826,939 ",Private-4 year,2010-2011
Concordia University,526,"$2,211,886 ",Private-4 year,2010-2011
DePaul University,"5,213","$21,286,954 ",Private-4 year,2010-2011
Dominican University,885,"$3,945,121 ",Private-4 year,2010-2011
East West University,598,"$2,082,108 ",Private-4 year,2010-2011
Elmhurst College,997,"$4,293,079 ",Private-4 year,2010-2011
Eureka College,354,"$1,523,533 ",Private-4 year,2010-2011
Greenville College,505,"$2,107,413 ",Private-4 year,2010-2011
Hebrew Theological College,67,"$295,473 ",Private-4 year,2010-2011
Illinois College,358,"$1,526,732 ",Private-4 year,2010-2011
Illinois Institute of Technology,566,"$2,505,745 ",Private-4 year,2010-2011
Illinois Wesleyan University,477,"$2,260,478 ",Private-4 year,2010-2011
Judson University,358,"$1,418,974 ",Private-4 year,2010-2011
Knox College,241,"$1,108,621 ",Private-4 year,2010-2011
Lake Forest College,347,"$1,616,486 ",Private-4 year,2010-2011
Lewis University,"1,340","$5,577,309 ",Private-4 year,2010-2011
Lexington College,31,"$123,286 ",Private-4 year,2010-2011
Lincoln Christian University,233,"$841,563 ",Private-4 year,2010-2011
Lincoln College*,--,--,Private-4 year,2010-2011
Loyola University Chicago,"2,593","$11,260,785 ",Private-4 year,2010-2011
MacCormac College*,--,--,Private-4 year,2010-2011
MacMurray College,235,"$978,906 ",Private-4 year,2010-2011
McKendree University,717,"$2,979,191 ",Private-4 year,2010-2011
Millikin University,939,"$4,077,409 ",Private-4 year,2010-2011
Monmouth College,633,"$2,896,618 ",Private-4 year,2010-2011
Morrison Institute of Tech*,--,--,Private-4 year,2010-2011
National Louis University,619,"$1,744,197 ",Private-4 year,2010-2011
North Central College,748,"$3,330,564 ",Private-4 year,2010-2011
North Park University,577,"$2,246,994 ",Private-4 year,2010-2011
Northwestern University,542,"$2,445,298 ",Private-4 year,2010-2011
Olivet Nazarene College,823,"$3,389,899 ",Private-4 year,2010-2011
Quincy University,483,"$2,005,549 ",Private-4 year,2010-2011
Robert Morris University Illinois,"2,453","$9,119,176 ",Private-4 year,2010-2011
Rockford University,458,"$1,850,155 ",Private-4 year,2010-2011
Roosevelt University,"1,578","$5,451,120 ",Private-4 year,2010-2011
Shimer College,24,"$94,925 ",Private-4 year,2010-2011
St. Augustine College,997,"$3,230,731 ",Private-4 year,2010-2011
St. Xavier University,"1,529","$6,109,978 ",Private-4 year,2010-2011
Telshe Yeshiva,17,"$75,533 ",Private-4 year,2010-2011
The School of the Art Institute,238,"$963,114 ",Private-4 year,2010-2011
The University of Chicago,315,"$1,484,230 ",Private-4 year,2010-2011
Trinity Christian College,444,"$1,641,180 ",Private-4 year,2010-2011
Trinity International Univ- Reach,105,"$335,633 ",Private-4 year,2010-2011
Trinity International University,157,"$689,970 ",Private-4 year,2010-2011
University of St. Francis,621,"$2,542,826 ",Private-4 year,2010-2011
Vandercook College of Music,61,"$267,941 ",Private-4 year,2010-2011
Wheaton College,110,"$493,479 ",Private-4 year,2010-2011
Black Hawk College,"1,019","$1,020,191 ",Public-2 year,2010-2011
Carl Sandburg College,664,"$836,607 ",Public-2 year,2010-2011
College of DuPage,"2,268","$2,643,358 ",Public-2 year,2010-2011
College of Lake County,"1,227","$1,048,431 ",Public-2 year,2010-2011
Danville Area Community College,487,"$448,482 ",Public-2 year,2010-2011
Elgin Community College,"1,592","$1,548,560 ",Public-2 year,2010-2011
Frontier Community College,134,"$126,808 ",Public-2 year,2010-2011
Harold Washington College,"2,777","$2,887,209 ",Public-2 year,2010-2011
Harry S. Truman College,"1,522","$1,523,546 ",Public-2 year,2010-2011
Heartland Community College,771,"$681,080 ",Public-2 year,2010-2011
Highland Community College,471,"$501,791 ",Public-2 year,2010-2011
Illinois Central College,"2,356","$2,089,811 ",Public-2 year,2010-2011
Illinois Valley Community College,841,"$929,821 ",Public-2 year,2010-2011
John A. Logan College,959,"$977,649 ",Public-2 year,2010-2011
John Wood Community College,571,"$743,651 ",Public-2 year,2010-2011
Joliet Junior College,"1,974","$1,931,022 ",Public-2 year,2010-2011
Kankakee Community College,"1,006","$968,050 ",Public-2 year,2010-2011
Kaskaskia College,729,"$667,466 ",Public-2 year,2010-2011
Kennedy-King College,"2,076","$1,998,882 ",Public-2 year,2010-2011
Kishwaukee College,986,"$1,163,501 ",Public-2 year,2010-2011
Lake Land College,"1,147","$1,291,808 ",Public-2 year,2010-2011
Lewis & Clark Comm. College,740,"$851,705 ",Public-2 year,2010-2011
Lincoln Land Comm. College,"1,110","$930,485 ",Public-2 year,2010-2011
Lincoln Trail College,117,"$114,473 ",Public-2 year,2010-2011
Malcolm X College,"1,791","$1,695,704 ",Public-2 year,2010-2011
McHenry County College,617,"$659,753 ",Public-2 year,2010-2011
Moraine Valley Comm. College,"1,720","$1,655,785 ",Public-2 year,2010-2011
Morton College,844,"$701,509 ",Public-2 year,2010-2011
Oakton Community College,"1,167","$1,184,804 ",Public-2 year,2010-2011
Olive Harvey College,"1,324","$1,274,699 ",Public-2 year,2010-2011
Olney Central College,368,"$349,069 ",Public-2 year,2010-2011
Parkland College,"1,369","$1,556,821 ",Public-2 year,2010-2011
Prairie State College,"1,096","$1,250,614 ",Public-2 year,2010-2011
Rend Lake College,555,"$544,419 ",Public-2 year,2010-2011
Richard J. Daley College,"1,451","$1,338,214 ",Public-2 year,2010-2011
Richland Community College,582,"$525,210 ",Public-2 year,2010-2011
Rock Valley College,"1,703","$1,396,463 ",Public-2 year,2010-2011
Sauk Valley Community College,542,"$544,099 ",Public-2 year,2010-2011
Shawnee Community College,376,"$289,454 ",Public-2 year,2010-2011
South Suburban Coll of Cook Cty,"1,706","$1,872,150 ",Public-2 year,2010-2011
Southeastern Illinois College,303,"$287,992 ",Public-2 year,2010-2011
Southwestern Illinois College,"1,154","$950,094 ",Public-2 year,2010-2011
Spoon River College,375,"$479,015 ",Public-2 year,2010-2011
Triton College,"1,845","$1,979,941 ",Public-2 year,2010-2011
Wabash Valley College,148,"$147,291 ",Public-2 year,2010-2011
Waubonsee Community College,"1,054","$924,115 ",Public-2 year,2010-2011
Wilbur Wright College,"2,022","$1,885,101 ",Public-2 year,2010-2011
William Rainey Harper College,"1,755","$2,323,405 ",Public-2 year,2010-2011
Lincoln College*,74,"$184,618 ",Private-2 year,2010-2011
MacCormac College*,56,"$241,412 ",Private-2 year,2010-2011
Morrison Institute of Tech*,39,"$138,281 ",Private-2 year,2010-2011
Blessing-Rieman College of Nursing,56,"$206,271 ",Hospital Schools,2010-2011
Capital Area School of Prac Nursing,89,"$270,112 ",Hospital Schools,2010-2011
Graham Hospital School of Nursing,49,"$166,094 ",Hospital Schools,2010-2011
Lakeview College of Nursing,76,"$279,752 ",Hospital Schools,2010-2011
Methodist College of Nursing,242,"$908,508 ",Hospital Schools,2010-2011
National University of Health Sciences,16,"$42,846 ",Hospital Schools,2010-2011
Resurrection University,77,"$226,323 ",Hospital Schools,2010-2011
Rush University-Med Tech,17,"$70,388 ",Hospital Schools,2010-2011
St. Anthony College of Nursing,74,"$264,532 ",Hospital Schools,2010-2011
St. Francis Medical Ctr College of Nursing,136,"$465,389 ",Hospital Schools,2010-2011
St. Johns College Dept of Nursing,31,"$135,783 ",Hospital Schools,2010-2011
Trinity College of Nursing & Health Science,27,"$84,518 ",Hospital Schools,2010-2011
American Academy of Art,159,"$604,187 ",For Profit,2010-2011
Argosy University,186,"$422,960 ",For Profit,2010-2011
DeVry University - Chicago,"3,863","$11,852,331 ",For Profit,2010-2011
Fox College,274,"$1,002,420 ",For Profit,2010-2011
Harrington College of Design,--,--,For Profit,2010-2011
Kendall College,619,"$1,882,364 ",For Profit,2010-2011
Le Cordon Bleu College of Culinary Arts,301,"$894,376 ",For Profit,2010-2011
Midstate College,355,"$915,102 ",For Profit,2010-2011
Northwestern College,"1,042","$2,575,279 ",For Profit,2010-2011
The Illinois Institute of Art,"1,565","$5,055,716 ",For Profit,2010-2011
Chicago State University,"2,889","$7,355,335 ",Public - 4 year,2011-2012
Eastern Illinois University,"3,071","$10,859,986 ",Public - 4 year,2011-2012
Governors State University,"1,218","$2,551,412 ",Public - 4 year,2011-2012
Illinois State University,"4,378","$15,422,757 ",Public - 4 year,2011-2012
Northeastern Illinois Univ.,"3,583","$9,360,250 ",Public - 4 year,2011-2012
Northern Illinois University,"6,253","$22,544,146 ",Public - 4 year,2011-2012
Southern Illinois-Carbondale,"4,573","$16,056,613 ",Public - 4 year,2011-2012
Southern Illinois-Edwardsville,"2,883","$8,210,259 ",Public - 4 year,2011-2012
University of Illinois-Chicago,"7,970","$30,845,064 ",Public - 4 year,2011-2012
University of Illinois-Springfield,860,"$2,762,227 ",Public - 4 year,2011-2012
University of Illinois-Urbana,"6,656","$27,350,506 ",Public - 4 year,2011-2012
Western Illinois University,"3,254","$11,762,666 ",Public - 4 year,2011-2012
Augustana College,623,"$2,854,908 ",Private-4 year,2011-2012
Aurora University,"1,203","$4,767,119 ",Private-4 year,2011-2012
Benedictine University,"1,627","$5,832,008 ",Private-4 year,2011-2012
Blackburn College,267,"$1,073,925 ",Private-4 year,2011-2012
Bradley University,"1,550","$6,575,305 ",Private-4 year,2011-2012
Columbia College,"2,892","$10,795,178 ",Private-4 year,2011-2012
Concordia University,551,"$2,284,888 ",Private-4 year,2011-2012
DePaul University,"5,773","$22,384,032 ",Private-4 year,2011-2012
Dominican University,979,"$4,177,277 ",Private-4 year,2011-2012
East West University,511,"$1,715,489 ",Private-4 year,2011-2012
Elmhurst College,"1,051","$4,374,571 ",Private-4 year,2011-2012
Eureka College,363,"$1,502,259 ",Private-4 year,2011-2012
Greenville College,449,"$1,803,034 ",Private-4 year,2011-2012
Hebrew Theological College,69,"$277,547 ",Private-4 year,2011-2012
Illinois College,368,"$1,535,046 ",Private-4 year,2011-2012
Illinois Institute of Technology,702,"$2,975,395 ",Private-4 year,2011-2012
Illinois Wesleyan University,489,"$2,244,512 ",Private-4 year,2011-2012
Judson University,355,"$1,370,330 ",Private-4 year,2011-2012
Knox College,287,"$1,257,784 ",Private-4 year,2011-2012
Lake Forest College,411,"$1,876,865 ",Private-4 year,2011-2012
Lewis University,"1,532","$6,218,217 ",Private-4 year,2011-2012
Lexington College,25,"$99,592 ",Private-4 year,2011-2012
Lincoln Christian University,249,"$890,363 ",Private-4 year,2011-2012
Lincoln College*,586,"$2,124,452 ",Private-4 year,2011-2012
Loyola University Chicago,"2,629","$11,000,522 ",Private-4 year,2011-2012
MacCormac College*,78,"$214,283 ",Private-4 year,2011-2012
MacMurray College,247,"$977,021 ",Private-4 year,2011-2012
McKendree University,704,"$2,809,786 ",Private-4 year,2011-2012
Millikin University,998,"$4,173,577 ",Private-4 year,2011-2012
Monmouth College,650,"$2,850,088 ",Private-4 year,2011-2012
Morrison Institute of Tech*,51,"$219,638 ",Private-4 year,2011-2012
National Louis University,718,"$2,009,236 ",Private-4 year,2011-2012
North Central College,814,"$3,522,623 ",Private-4 year,2011-2012
North Park University,675,"$2,590,062 ",Private-4 year,2011-2012
Northwestern University,555,"$2,439,674 ",Private-4 year,2011-2012
Olivet Nazarene College,782,"$3,111,304 ",Private-4 year,2011-2012
Quincy University,491,"$1,974,438 ",Private-4 year,2011-2012
Robert Morris University Illinois,"2,253","$8,116,205 ",Private-4 year,2011-2012
Rockford University,502,"$1,964,512 ",Private-4 year,2011-2012
Roosevelt University,"1,512","$5,054,703 ",Private-4 year,2011-2012
Shimer College,26,"$98,648 ",Private-4 year,2011-2012
St. Augustine College,"1,160","$3,547,770 ",Private-4 year,2011-2012
St. Xavier University,"1,655","$6,382,433 ",Private-4 year,2011-2012
Telshe Yeshiva,23,"$92,514 ",Private-4 year,2011-2012
The School of the Art Institute,237,"$895,002 ",Private-4 year,2011-2012
The University of Chicago,271,"$1,240,416 ",Private-4 year,2011-2012
Trinity Christian College,496,"$1,724,278 ",Private-4 year,2011-2012
Trinity International Univ- Reach,110,"$303,471 ",Private-4 year,2011-2012
Trinity International University,187,"$803,435 ",Private-4 year,2011-2012
University of St. Francis,669,"$2,643,185 ",Private-4 year,2011-2012
Vandercook College of Music,58,"$245,343 ",Private-4 year,2011-2012
Wheaton College,133,"$586,227 ",Private-4 year,2011-2012
Black Hawk College,"1,128","$1,110,790 ",Public-2 year,2011-2012
Carl Sandburg College,717,"$871,259 ",Public-2 year,2011-2012
College of DuPage,"3,014","$3,299,151 ",Public-2 year,2011-2012
College of Lake County,"1,564","$1,278,661 ",Public-2 year,2011-2012
Danville Area Community College,446,"$371,527 ",Public-2 year,2011-2012
Elgin Community College,"1,623","$1,444,714 ",Public-2 year,2011-2012
Frontier Community College,122,"$113,244 ",Public-2 year,2011-2012
Harold Washington College,"3,603","$3,432,847 ",Public-2 year,2011-2012
Harry S. Truman College,"1,845","$1,669,947 ",Public-2 year,2011-2012
Heartland Community College,891,"$780,558 ",Public-2 year,2011-2012
Highland Community College,457,"$437,323 ",Public-2 year,2011-2012
Illinois Central College,"2,002","$1,658,987 ",Public-2 year,2011-2012
Illinois Valley Community College,940,"$975,930 ",Public-2 year,2011-2012
John A. Logan College,849,"$821,924 ",Public-2 year,2011-2012
John Wood Community College,553,"$678,038 ",Public-2 year,2011-2012
Joliet Junior College,"2,132","$2,064,219 ",Public-2 year,2011-2012
Kankakee Community College,"1,045","$924,242 ",Public-2 year,2011-2012
Kaskaskia College,587,"$534,693 ",Public-2 year,2011-2012
Kennedy-King College,"2,356","$2,104,923 ",Public-2 year,2011-2012
Kishwaukee College,"1,125","$1,247,095 ",Public-2 year,2011-2012
Lake Land College,"1,094","$1,163,866 ",Public-2 year,2011-2012
Lewis & Clark Comm. College,779,"$783,764 ",Public-2 year,2011-2012
Lincoln Land Comm. College,"1,206","$999,914 ",Public-2 year,2011-2012
Lincoln Trail College,136,"$128,980 ",Public-2 year,2011-2012
Malcolm X College,"2,320","$2,030,183 ",Public-2 year,2011-2012
McHenry County College,582,"$567,624 ",Public-2 year,2011-2012
Moraine Valley Comm. College,"2,440","$2,386,750 ",Public-2 year,2011-2012
Morton College,921,"$709,456 ",Public-2 year,2011-2012
Oakton Community College,"1,180","$1,065,806 ",Public-2 year,2011-2012
Olive Harvey College,"1,497","$1,339,009 ",Public-2 year,2011-2012
Olney Central College,299,"$272,794 ",Public-2 year,2011-2012
Parkland College,"1,605","$1,783,285 ",Public-2 year,2011-2012
Prairie State College,"1,435","$1,551,844 ",Public-2 year,2011-2012
Rend Lake College,503,"$474,349 ",Public-2 year,2011-2012
Richard J. Daley College,"1,923","$1,683,430 ",Public-2 year,2011-2012
Richland Community College,575,"$485,317 ",Public-2 year,2011-2012
Rock Valley College,"1,738","$1,391,568 ",Public-2 year,2011-2012
Sauk Valley Community College,460,"$419,241 ",Public-2 year,2011-2012
Shawnee Community College,345,"$268,069 ",Public-2 year,2011-2012
South Suburban Coll of Cook Cty,"2,118","$2,071,048 ",Public-2 year,2011-2012
Southeastern Illinois College,293,"$243,810 ",Public-2 year,2011-2012
Southwestern Illinois College,"1,275","$999,732 ",Public-2 year,2011-2012
Spoon River College,408,"$508,925 ",Public-2 year,2011-2012
Triton College,"1,991","$2,010,769 ",Public-2 year,2011-2012
Wabash Valley College,93,"$93,702 ",Public-2 year,2011-2012
Waubonsee Community College,"1,259","$1,036,746 ",Public-2 year,2011-2012
Wilbur Wright College,"2,357","$2,008,758 ",Public-2 year,2011-2012
William Rainey Harper College,"1,940","$2,539,009 ",Public-2 year,2011-2012
Lincoln College*,--,--,,2011-2012
MacCormac College*,--,--,,2011-2012
Morrison Institute of Tech*,--,--,,2011-2012
Blessing-Rieman College of Nursing,53,"$187,120 ",Hospital Schools,2011-2012
Capital Area School of Prac Nursing,82,"$259,136 ",Hospital Schools,2011-2012
Graham Hospital School of Nursing,50,"$172,501 ",Hospital Schools,2011-2012
Lakeview College of Nursing,83,"$279,909 ",Hospital Schools,2011-2012
Methodist College of Nursing,255,"$907,262 ",Hospital Schools,2011-2012
National University of Health Sciences,16,"$55,859 ",Hospital Schools,2011-2012
Resurrection University,90,"$287,015 ",Hospital Schools,2011-2012
Rush University-Med Tech,18,"$70,644 ",Hospital Schools,2011-2012
St. Anthony College of Nursing,97,"$336,699 ",Hospital Schools,2011-2012
St. Francis Medical Ctr College of Nursing,163,"$557,844 ",Hospital Schools,2011-2012
St. Johns College Dept of Nursing,33,"$133,149 ",Hospital Schools,2011-2012
Trinity College of Nursing & Health Science,35,"$108,666 ",Hospital Schools,2011-2012
American Academy of Art,181,"$678,182 ",For Profit,2011-2012
Argosy University,--,--,For Profit,2011-2012
DeVry University - Chicago,"3,667","$10,358,680 ",For Profit,2011-2012
Fox College,268,"$932,212 ",For Profit,2011-2012
Harrington College of Design,138,"$391,724 ",For Profit,2011-2012
Kendall College,626,"$1,776,259 ",For Profit,2011-2012
Le Cordon Bleu College of Culinary Arts,333,"$807,211 ",For Profit,2011-2012
Midstate College,328,"$803,393 ",For Profit,2011-2012
Northwestern College,"1,163","$2,801,199 ",For Profit,2011-2012
The Illinois Institute of Art,"1,715","$5,180,367 ",For Profit,2011-2012
Chicago State University,"2,415","$6,094,958 ",Public - 4 year,2012-2013
Eastern Illinois University,"2,693","$9,491,142 ",Public - 4 year,2012-2013
Governors State University,"1,064","$2,171,870 ",Public - 4 year,2012-2013
Illinois State University,"4,204","$14,950,080 ",Public - 4 year,2012-2013
Northeastern Illinois Univ.,"3,418","$8,856,818 ",Public - 4 year,2012-2013
Northern Illinois University,"5,767","$20,661,296 ",Public - 4 year,2012-2013
Southern Illinois-Carbondale,"4,055","$14,405,880 ",Public - 4 year,2012-2013
Southern Illinois-Edwardsville,"2,872","$8,153,700 ",Public - 4 year,2012-2013
University of Illinois-Chicago,"7,618","$29,729,284 ",Public - 4 year,2012-2013
University of Illinois-Springfield,778,"$2,467,714 ",Public - 4 year,2012-2013
University of Illinois-Urbana,"6,324","$26,267,340 ",Public - 4 year,2012-2013
Western Illinois University,"3,011","$10,954,898 ",Public - 4 year,2012-2013
Augustana College,634,"$2,882,755 ",Private-4 year,2012-2013
Aurora University,"1,155","$4,515,134 ",Private-4 year,2012-2013
Benedictine University,"1,438","$5,128,362 ",Private-4 year,2012-2013
Blackburn College,277,"$1,107,974 ",Private-4 year,2012-2013
Bradley University,"1,503","$6,314,507 ",Private-4 year,2012-2013
Columbia College,"2,490","$9,263,682 ",Private-4 year,2012-2013
Concordia University,570,"$2,343,037 ",Private-4 year,2012-2013
DePaul University,"5,104","$19,856,961 ",Private-4 year,2012-2013
Dominican University,940,"$4,021,292 ",Private-4 year,2012-2013
East West University,450,"$1,366,190 ",Private-4 year,2012-2013
Elmhurst College,"1,009","$4,182,438 ",Private-4 year,2012-2013
Eureka College,313,"$1,299,070 ",Private-4 year,2012-2013
Greenville College,372,"$1,473,982 ",Private-4 year,2012-2013
Hebrew Theological College,63,"$263,100 ",Private-4 year,2012-2013
Illinois College,356,"$1,489,980 ",Private-4 year,2012-2013
Illinois Institute of Technology,669,"$2,828,400 ",Private-4 year,2012-2013
Illinois Wesleyan University,433,"$1,997,286 ",Private-4 year,2012-2013
Judson University,302,"$1,155,092 ",Private-4 year,2012-2013
Knox College,254,"$1,129,334 ",Private-4 year,2012-2013
Lake Forest College,427,"$1,921,890 ",Private-4 year,2012-2013
Lewis University,"1,511","$5,959,504 ",Private-4 year,2012-2013
Lexington College,22,"$93,771 ",Private-4 year,2012-2013
Lincoln Christian University,214,"$735,930 ",Private-4 year,2012-2013
Lincoln College*,573,"$2,039,551 ",Private-4 year,2012-2013
Loyola University Chicago,"2,448","$10,240,566 ",Private-4 year,2012-2013
MacCormac College*,75,"$188,619 ",Private-4 year,2012-2013
MacMurray College,292,"$1,176,167 ",Private-4 year,2012-2013
McKendree University,584,"$2,308,310 ",Private-4 year,2012-2013
Millikin University,884,"$3,709,777 ",Private-4 year,2012-2013
Monmouth College,617,"$2,708,142 ",Private-4 year,2012-2013
Morrison Institute of Tech*,35,"$139,696 ",Private-4 year,2012-2013
National Louis University,608,"$1,714,084 ",Private-4 year,2012-2013
North Central College,792,"$3,395,126 ",Private-4 year,2012-2013
North Park University,632,"$2,354,591 ",Private-4 year,2012-2013
Northwestern University,505,"$2,208,263 ",Private-4 year,2012-2013
Olivet Nazarene College,727,"$2,917,127 ",Private-4 year,2012-2013
Quincy University,448,"$1,830,666 ",Private-4 year,2012-2013
Robert Morris University Illinois,"1,821","$6,407,000 ",Private-4 year,2012-2013
Rockford University,469,"$1,832,765 ",Private-4 year,2012-2013
Roosevelt University,"1,467","$4,979,926 ",Private-4 year,2012-2013
Shimer College,25,"$101,323 ",Private-4 year,2012-2013
St. Augustine College,"1,075","$3,230,462 ",Private-4 year,2012-2013
St. Xavier University,"1,444","$5,635,809 ",Private-4 year,2012-2013
Telshe Yeshiva,17,"$57,683 ",Private-4 year,2012-2013
The School of the Art Institute,244,"$877,369 ",Private-4 year,2012-2013
The University of Chicago,214,"$976,569 ",Private-4 year,2012-2013
Trinity Christian College,413,"$1,439,243 ",Private-4 year,2012-2013
Trinity International Univ- Reach,74,"$213,107 ",Private-4 year,2012-2013
Trinity International University,162,"$670,722 ",Private-4 year,2012-2013
University of St. Francis,666,"$2,644,001 ",Private-4 year,2012-2013
Vandercook College of Music,44,"$200,915 ",Private-4 year,2012-2013
Wheaton College,126,"$546,689 ",Private-4 year,2012-2013
Black Hawk College,906,"$859,857 ",Public-2 year,2012-2013
Carl Sandburg College,645,"$811,845 ",Public-2 year,2012-2013
