Institution,Awards,Payout,Type,Year
College of DuPage,"2,415","$2,750,395 ",Public-2 year,2012-2013
College of Lake County,"1,403","$1,095,219 ",Public-2 year,2012-2013
Danville Area Community College,350,"$311,752 ",Public-2 year,2012-2013
Elgin Community College,"1,594","$1,432,874 ",Public-2 year,2012-2013
Frontier Community College,86,"$75,267 ",Public-2 year,2012-2013
Harold Washington College,"3,252","$3,028,829 ",Public-2 year,2012-2013
Harry S. Truman College,"1,576","$1,422,951 ",Public-2 year,2012-2013
Heartland Community College,713,"$588,340 ",Public-2 year,2012-2013
Highland Community College,381,"$368,100 ",Public-2 year,2012-2013
Illinois Central College,"1,474","$1,242,525 ",Public-2 year,2012-2013
Illinois Valley Community College,756,"$771,466 ",Public-2 year,2012-2013
John A. Logan College,740,"$683,339 ",Public-2 year,2012-2013
John Wood Community College,483,"$564,026 ",Public-2 year,2012-2013
Joliet Junior College,"1,873","$1,744,682 ",Public-2 year,2012-2013
Kankakee Community College,868,"$775,057 ",Public-2 year,2012-2013
Kaskaskia College,483,"$427,861 ",Public-2 year,2012-2013
Kennedy-King College,"2,022","$1,832,032 ",Public-2 year,2012-2013
Kishwaukee College,895,"$979,725 ",Public-2 year,2012-2013
Lake Land College,937,"$938,346 ",Public-2 year,2012-2013
Lewis & Clark Comm. College,685,"$665,543 ",Public-2 year,2012-2013
Lincoln Land Comm. College,966,"$770,897 ",Public-2 year,2012-2013
Lincoln Trail College,104,"$94,861 ",Public-2 year,2012-2013
Malcolm X College,"2,012","$1,740,631 ",Public-2 year,2012-2013
McHenry County College,631,"$609,325 ",Public-2 year,2012-2013
Moraine Valley Comm. College,"2,238","$2,160,089 ",Public-2 year,2012-2013
Morton College,915,"$759,944 ",Public-2 year,2012-2013
Oakton Community College,"1,072","$982,094 ",Public-2 year,2012-2013
Olive Harvey College,"1,272","$1,129,153 ",Public-2 year,2012-2013
Olney Central College,216,"$193,392 ",Public-2 year,2012-2013
Parkland College,"1,215","$1,327,828 ",Public-2 year,2012-2013
Prairie State College,"1,275","$1,232,230 ",Public-2 year,2012-2013
Rend Lake College,424,"$405,658 ",Public-2 year,2012-2013
Richard J. Daley College,"1,797","$1,555,470 ",Public-2 year,2012-2013
Richland Community College,451,"$369,662 ",Public-2 year,2012-2013
Rock Valley College,"1,490","$1,171,123 ",Public-2 year,2012-2013
Sauk Valley Community College,466,"$429,238 ",Public-2 year,2012-2013
Shawnee Community College,227,"$158,948 ",Public-2 year,2012-2013
South Suburban Coll of Cook Cty,"1,666","$1,610,694 ",Public-2 year,2012-2013
Southeastern Illinois College,273,"$243,628 ",Public-2 year,2012-2013
Southwestern Illinois College,"1,032","$815,279 ",Public-2 year,2012-2013
Spoon River College,366,"$431,078 ",Public-2 year,2012-2013
Triton College,"1,732","$1,763,232 ",Public-2 year,2012-2013
Wabash Valley College,110,"$102,144 ",Public-2 year,2012-2013
Waubonsee Community College,"1,297","$1,029,345 ",Public-2 year,2012-2013
Wilbur Wright College,"2,324","$1,950,273 ",Public-2 year,2012-2013
William Rainey Harper College,"1,441","$1,878,429 ",Public-2 year,2012-2013
Lincoln College*,--,--,,2012-2013
MacCormac College*,--,--,,2012-2013
Morrison Institute of Tech*,--,--,,2012-2013
Blessing-Rieman College of Nursing,48,"$160,169 ",Hospital Schools,2012-2013
Capital Area School of Prac Nursing,52,"$157,917 ",Hospital Schools,2012-2013
Graham Hospital School of Nursing,39,"$134,499 ",Hospital Schools,2012-2013
Lakeview College of Nursing,86,"$277,030 ",Hospital Schools,2012-2013
Methodist College of Nursing,234,"$793,992 ",Hospital Schools,2012-2013
National University of Health Sciences,13,"$41,536 ",Hospital Schools,2012-2013
Resurrection University,101,"$322,241 ",Hospital Schools,2012-2013
Rush University-Med Tech,19,"$65,912 ",Hospital Schools,2012-2013
St. Anthony College of Nursing,86,"$291,541 ",Hospital Schools,2012-2013
St. Francis Medical Ctr College of Nursing,146,"$515,388 ",Hospital Schools,2012-2013
St. Johns College Dept of Nursing,28,"$113,515 ",Hospital Schools,2012-2013
Trinity College of Nursing & Health Science,32,"$100,327 ",Hospital Schools,2012-2013
American Academy of Art,146,"$514,515 ",For Profit,2012-2013
Argosy University,--,--,For Profit,2012-2013
DeVry University - Chicago,"2,816","$7,872,869 ",For Profit,2012-2013
Fox College,212,"$592,917 ",For Profit,2012-2013
Harrington College of Design,113,"$250,615 ",For Profit,2012-2013
Kendall College,557,"$1,462,300 ",For Profit,2012-2013
Le Cordon Bleu College of Culinary Arts,179,"$368,527 ",For Profit,2012-2013
Midstate College,262,"$640,103 ",For Profit,2012-2013
Northwestern College,837,"$1,947,772 ",For Profit,2012-2013
The Illinois Institute of Art,"1,212","$3,592,186 ",For Profit,2012-2013
Chicago State University,"2,335","$6,013,567 ",Public - 4 year,2013-2014
Eastern Illinois University,"2,548","$9,131,215 ",Public - 4 year,2013-2014
Governors State University,"1,208","$2,568,482 ",Public - 4 year,2013-2014
Illinois State University,"4,281","$15,388,249 ",Public - 4 year,2013-2014
Northeastern Illinois Univ.,"3,079","$7,840,237 ",Public - 4 year,2013-2014
Northern Illinois University,"5,714","$20,561,178 ",Public - 4 year,2013-2014
Southern Illinois-Carbondale,"4,103","$14,751,913 ",Public - 4 year,2013-2014
Southern Illinois-Edwardsville,"2,801","$8,110,117 ",Public - 4 year,2013-2014
University of Illinois-Chicago,"7,901","$30,834,803 ",Public - 4 year,2013-2014
University of Illinois-Springfield,827,"$2,653,201 ",Public - 4 year,2013-2014
University of Illinois-Urbana,"6,660","$27,730,306 ",Public - 4 year,2013-2014
Western Illinois University,"3,124","$11,756,418 ",Public - 4 year,2013-2014
Augustana College,658,"$2,989,929 ",Private-4 year,2013-2014
Aurora University,"1,388","$5,468,817 ",Private-4 year,2013-2014
Benedictine University,"1,459","$5,399,152 ",Private-4 year,2013-2014
Blackburn College,251,"$988,475 ",Private-4 year,2013-2014
Bradley University,"1,389","$5,884,952 ",Private-4 year,2013-2014
Columbia College,"2,251","$8,598,097 ",Private-4 year,2013-2014
Concordia University,595,"$2,439,327 ",Private-4 year,2013-2014
DePaul University,"5,376","$20,633,908 ",Private-4 year,2013-2014
Dominican University,"1,088","$4,728,873 ",Private-4 year,2013-2014
East West University,455,"$1,355,147 ",Private-4 year,2013-2014
Elmhurst College,939,"$3,930,415 ",Private-4 year,2013-2014
Eureka College,308,"$1,310,262 ",Private-4 year,2013-2014
Greenville College,349,"$1,440,448 ",Private-4 year,2013-2014
Hebrew Theological College,70,"$293,176 ",Private-4 year,2013-2014
Illinois College,394,"$1,679,917 ",Private-4 year,2013-2014
Illinois Institute of Technology,787,"$3,306,334 ",Private-4 year,2013-2014
Illinois Wesleyan University,475,"$2,197,414 ",Private-4 year,2013-2014
Judson University,333,"$1,277,222 ",Private-4 year,2013-2014
Knox College,297,"$1,358,723 ",Private-4 year,2013-2014
Lake Forest College,471,"$2,152,290 ",Private-4 year,2013-2014
Lewis University,"1,489","$6,027,461 ",Private-4 year,2013-2014
Lexington College,26,"$111,392 ",Private-4 year,2013-2014
Lincoln Christian University,209,"$711,551 ",Private-4 year,2013-2014
Lincoln College*,630,"$2,269,123 ",Private-4 year,2013-2014
Loyola University Chicago,"2,266","$9,696,228 ",Private-4 year,2013-2014
MacCormac College*,91,"$233,887 ",Private-4 year,2013-2014
MacMurray College,270,"$1,094,037 ",Private-4 year,2013-2014
McKendree University,669,"$2,659,172 ",Private-4 year,2013-2014
Millikin University,870,"$3,666,753 ",Private-4 year,2013-2014
Monmouth College,645,"$2,882,270 ",Private-4 year,2013-2014
Morrison Institute of Tech*,37,"$143,922 ",Private-4 year,2013-2014
National Louis University,645,"$1,787,758 ",Private-4 year,2013-2014
North Central College,855,"$3,680,042 ",Private-4 year,2013-2014
North Park University,741,"$2,773,803 ",Private-4 year,2013-2014
Northwestern University,536,"$2,415,240 ",Private-4 year,2013-2014
Olivet Nazarene College,850,"$3,495,082 ",Private-4 year,2013-2014
Quincy University,398,"$1,642,603 ",Private-4 year,2013-2014
Robert Morris University Illinois,"1,554","$5,509,064 ",Private-4 year,2013-2014
Rockford University,510,"$1,933,174 ",Private-4 year,2013-2014
Roosevelt University,"1,469","$5,065,625 ",Private-4 year,2013-2014
Shimer College,24,"$93,141 ",Private-4 year,2013-2014
St. Augustine College,954,"$2,746,664 ",Private-4 year,2013-2014
St. Xavier University,"1,549","$6,147,708 ",Private-4 year,2013-2014
Telshe Yeshiva,19,"$79,716 ",Private-4 year,2013-2014
The School of the Art Institute,228,"$864,220 ",Private-4 year,2013-2014
The University of Chicago,209,"$969,173 ",Private-4 year,2013-2014
Trinity Christian College,447,"$1,549,112 ",Private-4 year,2013-2014
Trinity International Univ- Reach,77,"$226,599 ",Private-4 year,2013-2014
Trinity International University,152,"$638,599 ",Private-4 year,2013-2014
University of St. Francis,688,"$2,763,114 ",Private-4 year,2013-2014
Vandercook College of Music,45,"$189,543 ",Private-4 year,2013-2014
Wheaton College,138,"$600,245 ",Private-4 year,2013-2014
Black Hawk College,786,"$746,006 ",Public-2 year,2013-2014
Carl Sandburg College,582,"$705,045 ",Public-2 year,2013-2014
College of DuPage,"2,681","$3,000,567 ",Public-2 year,2013-2014
College of Lake County,"1,296","$1,057,956 ",Public-2 year,2013-2014
Danville Area Community College,247,"$223,665 ",Public-2 year,2013-2014
Elgin Community College,"1,262","$1,145,141 ",Public-2 year,2013-2014
Frontier Community College,88,"$80,597 ",Public-2 year,2013-2014
Harold Washington College,"2,810","$2,607,941 ",Public-2 year,2013-2014
Harry S. Truman College,"1,387","$1,259,831 ",Public-2 year,2013-2014
Heartland Community College,636,"$550,431 ",Public-2 year,2013-2014
Highland Community College,328,"$327,684 ",Public-2 year,2013-2014
Illinois Central College,"1,167","$978,141 ",Public-2 year,2013-2014
Illinois Valley Community College,761,"$765,883 ",Public-2 year,2013-2014
John A. Logan College,627,"$617,230 ",Public-2 year,2013-2014
John Wood Community College,415,"$487,173 ",Public-2 year,2013-2014
Joliet Junior College,"1,711","$1,630,819 ",Public-2 year,2013-2014
Kankakee Community College,644,"$606,935 ",Public-2 year,2013-2014
Kaskaskia College,397,"$340,891 ",Public-2 year,2013-2014
Kennedy-King College,"1,574","$1,419,686 ",Public-2 year,2013-2014
Kishwaukee College,936,"$1,093,267 ",Public-2 year,2013-2014
Lake Land College,692,"$724,904 ",Public-2 year,2013-2014
Lewis & Clark Comm. College,714,"$705,450 ",Public-2 year,2013-2014
Lincoln Land Comm. College,"1,011","$846,558 ",Public-2 year,2013-2014
Lincoln Trail College,95,"$91,024 ",Public-2 year,2013-2014
Malcolm X College,"1,799","$1,512,973 ",Public-2 year,2013-2014
McHenry County College,622,"$551,481 ",Public-2 year,2013-2014
Moraine Valley Comm. College,"2,155","$2,129,329 ",Public-2 year,2013-2014
Morton College,781,"$624,311 ",Public-2 year,2013-2014
Oakton Community College,968,"$918,737 ",Public-2 year,2013-2014
Olive Harvey College,"1,201","$1,024,751 ",Public-2 year,2013-2014
Olney Central College,212,"$192,210 ",Public-2 year,2013-2014
Parkland College,"1,176","$1,231,182 ",Public-2 year,2013-2014
Prairie State College,"1,348","$1,358,722 ",Public-2 year,2013-2014
Rend Lake College,366,"$353,963 ",Public-2 year,2013-2014
Richard J. Daley College,"1,446","$1,161,363 ",Public-2 year,2013-2014
Richland Community College,500,"$432,428 ",Public-2 year,2013-2014
Rock Valley College,"1,357","$1,046,426 ",Public-2 year,2013-2014
Sauk Valley Community College,339,"$331,545 ",Public-2 year,2013-2014
Shawnee Community College,165,"$121,289 ",Public-2 year,2013-2014
South Suburban Coll of Cook Cty,"1,315","$1,305,337 ",Public-2 year,2013-2014
Southeastern Illinois College,273,"$244,559 ",Public-2 year,2013-2014
Southwestern Illinois College,"1,387","$1,056,159 ",Public-2 year,2013-2014
Spoon River College,328,"$381,113 ",Public-2 year,2013-2014
Triton College,"1,571","$1,563,660 ",Public-2 year,2013-2014
Wabash Valley College,92,"$89,163 ",Public-2 year,2013-2014
Waubonsee Community College,"1,214","$975,327 ",Public-2 year,2013-2014
Wilbur Wright College,"2,186","$1,822,884 ",Public-2 year,2013-2014
William Rainey Harper College,"1,281","$1,733,144 ",Public-2 year,2013-2014
Lincoln College*,--,--,,2013-2014
MacCormac College*,--,--,,2013-2014
Morrison Institute of Tech*,--,--,,2013-2014
Blessing-Rieman College of Nursing,50,"$174,730 ",Hospital Schools,2013-2014
Capital Area School of Prac Nursing,65,"$180,199 ",Hospital Schools,2013-2014
Graham Hospital School of Nursing,44,"$129,784 ",Hospital Schools,2013-2014
Lakeview College of Nursing,116,"$407,847 ",Hospital Schools,2013-2014
Methodist College of Nursing,240,"$762,082 ",Hospital Schools,2013-2014
National University of Health Sciences,12,"$43,581 ",Hospital Schools,2013-2014
Resurrection University,113,"$337,724 ",Hospital Schools,2013-2014
Rush University-Med Tech,17,"$61,156 ",Hospital Schools,2013-2014
St. Anthony College of Nursing,96,"$328,922 ",Hospital Schools,2013-2014
St. Francis Medical Ctr College of Nursing,155,"$521,596 ",Hospital Schools,2013-2014
St. Johns College Dept of Nursing,25,"$100,516 ",Hospital Schools,2013-2014
Trinity College of Nursing & Health Science,38,"$105,279 ",Hospital Schools,2013-2014
American Academy of Art,154,"$544,574 ",For Profit,2013-2014
Argosy University,--,--,For Profit,2013-2014
DeVry University - Chicago,"2,143","$6,139,415 ",For Profit,2013-2014
Fox College,235,"$792,811 ",For Profit,2013-2014
Harrington College of Design,77,"$204,376 ",For Profit,2013-2014
Kendall College,440,"$1,207,439 ",For Profit,2013-2014
Le Cordon Bleu College of Culinary Arts,131,"$314,260 ",For Profit,2013-2014
Midstate College,272,"$639,824 ",For Profit,2013-2014
Northwestern College,705,"$1,657,771 ",For Profit,2013-2014
The Illinois Institute of Art,1302,"$3,921,342 ",For Profit,2013-2014
Chicago State University,"2,123","$5,517,588 ",Public - 4 year,2014-2015
Eastern Illinois University,"2,416","$8,652,980 ",Public - 4 year,2014-2015
Governors State University,"1,305","$3,025,970 ",Public - 4 year,2014-2015
Illinois State University,"4,252","$15,477,176 ",Public - 4 year,2014-2015
Northeastern Illinois Univ.,"2,883","$7,417,721 ",Public - 4 year,2014-2015
Northern Illinois University,"5,499","$19,867,529 ",Public - 4 year,2014-2015
Southern Illinois-Carbondale,"3,936","$14,124,180 ",Public - 4 year,2014-2015
Southern Illinois-Edwardsville,"2,540","$7,446,577 ",Public - 4 year,2014-2015
University of Illinois-Chicago,"7,724","$30,253,396 ",Public - 4 year,2014-2015
University of Illinois-Springfield,802,"$2,633,460 ",Public - 4 year,2014-2015
University of Illinois-Urbana,"6,294","$26,303,915 ",Public - 4 year,2014-2015
Western Illinois University,"3,393","$12,534,685 ",Public - 4 year,2014-2015
Augustana College,689,"$3,116,493 ",Private-4 year,2014-2015
Aurora University,"1,404","$5,566,747 ",Private-4 year,2014-2015
Benedictine University,"1,392","$5,130,449 ",Private-4 year,2014-2015
Blackburn College,290,"$1,195,937 ",Private-4 year,2014-2015
Bradley University,"1,181","$4,941,652 ",Private-4 year,2014-2015
Columbia College,"1,906","$7,365,318 ",Private-4 year,2014-2015
Concordia University,583,"$2,388,408 ",Private-4 year,2014-2015
DePaul University,"5,256","$20,066,476 ",Private-4 year,2014-2015
Dominican University,"1,132","$4,898,202 ",Private-4 year,2014-2015
East West University,369,"$1,151,475 ",Private-4 year,2014-2015
Elmhurst College,891,"$3,736,686 ",Private-4 year,2014-2015
Eureka College,289,"$1,206,093 ",Private-4 year,2014-2015
Greenville College,322,"$1,356,121 ",Private-4 year,2014-2015
Hebrew Theological College,63,"$242,522 ",Private-4 year,2014-2015
Illinois College,397,"$1,704,225 ",Private-4 year,2014-2015
Illinois Institute of Technology,789,"$3,330,440 ",Private-4 year,2014-2015
Illinois Wesleyan University,440,"$2,003,951 ",Private-4 year,2014-2015
Judson University,362,"$1,378,530 ",Private-4 year,2014-2015
Knox College,344,"$1,563,413 ",Private-4 year,2014-2015
Lake Forest College,495,"$2,191,807 ",Private-4 year,2014-2015
Lewis University,"1,411","$5,740,806 ",Private-4 year,2014-2015
Lexington College,--,--,Private-4 year,2014-2015
Lincoln Christian University,164,"$545,615 ",Private-4 year,2014-2015
Lincoln College*,650,"$2,330,476 ",Private-4 year,2014-2015
Loyola University Chicago,"2,227","$9,457,934 ",Private-4 year,2014-2015
MacCormac College*,94,"$223,876 ",Private-4 year,2014-2015
MacMurray College,291,"$1,189,890 ",Private-4 year,2014-2015
McKendree University,707,"$2,799,018 ",Private-4 year,2014-2015
Millikin University,836,"$3,471,005 ",Private-4 year,2014-2015
Monmouth College,628,"$2,803,383 ",Private-4 year,2014-2015
Morrison Institute of Tech*,31,"$115,377 ",Private-4 year,2014-2015
National Louis University,604,"$1,613,093 ",Private-4 year,2014-2015
North Central College,781,"$3,393,201 ",Private-4 year,2014-2015
North Park University,746,"$2,896,351 ",Private-4 year,2014-2015
Northwestern University,535,"$2,379,471 ",Private-4 year,2014-2015
Olivet Nazarene College,894,"$3,623,854 ",Private-4 year,2014-2015
Quincy University,363,"$1,507,859 ",Private-4 year,2014-2015
Robert Morris University Illinois,"1,504","$5,468,475 ",Private-4 year,2014-2015
Rockford University,500,"$1,906,414 ",Private-4 year,2014-2015
Roosevelt University,"1,553","$5,520,129 ",Private-4 year,2014-2015
Shimer College,28,"$111,864 ",Private-4 year,2014-2015
St. Augustine College,990,"$2,888,762 ",Private-4 year,2014-2015
St. Xavier University,"1,623","$6,461,301 ",Private-4 year,2014-2015
Telshe Yeshiva,19,"$82,184 ",Private-4 year,2014-2015
The School of the Art Institute,191,"$711,776 ",Private-4 year,2014-2015
The University of Chicago,152,"$696,987 ",Private-4 year,2014-2015
Trinity Christian College,437,"$1,531,301 ",Private-4 year,2014-2015
Trinity International Univ- Reach,76,"$208,945 ",Private-4 year,2014-2015
Trinity International University,145,"$608,542 ",Private-4 year,2014-2015
University of St. Francis,666,"$2,670,545 ",Private-4 year,2014-2015
Vandercook College of Music,47,"$191,999 ",Private-4 year,2014-2015
Wheaton College,127,"$552,539 ",Private-4 year,2014-2015
Black Hawk College,724,"$708,112 ",Public-2 year,2014-2015
Carl Sandburg College,606,"$716,649 ",Public-2 year,2014-2015
College of DuPage,"2,382","$2,710,067 ",Public-2 year,2014-2015
College of Lake County,"1,038","$813,059 ",Public-2 year,2014-2015
Danville Area Community College,268,"$242,355 ",Public-2 year,2014-2015
Elgin Community College,"1,092","$988,163 ",Public-2 year,2014-2015
Frontier Community College,62,"$59,055 ",Public-2 year,2014-2015
Harold Washington College,"2,623","$2,429,620 ",Public-2 year,2014-2015
Harry S. Truman College,"1,241","$1,054,039 ",Public-2 year,2014-2015
Heartland Community College,567,"$515,567 ",Public-2 year,2014-2015
Highland Community College,246,"$247,934 ",Public-2 year,2014-2015
Illinois Central College,"1,006","$861,029 ",Public-2 year,2014-2015
Illinois Valley Community College,618,"$644,690 ",Public-2 year,2014-2015
John A. Logan College,613,"$591,479 ",Public-2 year,2014-2015
John Wood Community College,412,"$486,454 ",Public-2 year,2014-2015
Joliet Junior College,"1,430","$1,405,089 ",Public-2 year,2014-2015
Kankakee Community College,509,"$466,570 ",Public-2 year,2014-2015
Kaskaskia College,315,"$275,404 ",Public-2 year,2014-2015
Kennedy-King College,"1,448","$1,246,954 ",Public-2 year,2014-2015
Kishwaukee College,786,"$852,051 ",Public-2 year,2014-2015
Lake Land College,671,"$729,333 ",Public-2 year,2014-2015
Lewis & Clark Comm. College,539,"$527,104 ",Public-2 year,2014-2015
Lincoln Land Comm. College,912,"$794,029 ",Public-2 year,2014-2015
Lincoln Trail College,101,"$87,464 ",Public-2 year,2014-2015
Malcolm X College,"1,623","$1,311,196 ",Public-2 year,2014-2015
McHenry County College,512,"$483,259 ",Public-2 year,2014-2015
Moraine Valley Comm. College,"2,423","$2,407,082 ",Public-2 year,2014-2015
Morton College,783,"$686,142 ",Public-2 year,2014-2015
Oakton Community College,935,"$896,553 ",Public-2 year,2014-2015
Olive Harvey College,933,"$773,454 ",Public-2 year,2014-2015
Olney Central College,205,"$191,443 ",Public-2 year,2014-2015
Parkland College,"1,114","$1,193,755 ",Public-2 year,2014-2015
Prairie State College,988,"$1,066,915 ",Public-2 year,2014-2015
Rend Lake College,298,"$297,261 ",Public-2 year,2014-2015
Richard J. Daley College,"1,220","$945,707 ",Public-2 year,2014-2015
Richland Community College,520,"$441,639 ",Public-2 year,2014-2015
Rock Valley College,"1,097","$862,253 ",Public-2 year,2014-2015
Sauk Valley Community College,289,"$283,394 ",Public-2 year,2014-2015
Shawnee Community College,204,"$143,644 ",Public-2 year,2014-2015
South Suburban Coll of Cook Cty,"1,218","$1,167,772 ",Public-2 year,2014-2015
Southeastern Illinois College,272,"$243,917 ",Public-2 year,2014-2015
Southwestern Illinois College,"1,402","$1,087,548 ",Public-2 year,2014-2015
Spoon River College,335,"$410,238 ",Public-2 year,2014-2015
Triton College,"1,466","$1,500,173 ",Public-2 year,2014-2015
Wabash Valley College,75,"$77,881 ",Public-2 year,2014-2015
Waubonsee Community College,923,"$731,570 ",Public-2 year,2014-2015
Wilbur Wright College,"1,944","$1,561,426 ",Public-2 year,2014-2015
William Rainey Harper College,"1,133","$1,553,887 ",Public-2 year,2014-2015
Lincoln College*,--,--,,2014-2015
MacCormac College*,--,--,,2014-2015
Morrison Institute of Tech*,--,--,,2014-2015
Blessing-Rieman College of Nursing,55,"$185,302 ",Hospital Schools,2014-2015
Capital Area School of Prac Nursing,62,"$194,175 ",Hospital Schools,2014-2015
Graham Hospital School of Nursing,44,"$129,313 ",Hospital Schools,2014-2015
Lakeview College of Nursing,126,"$419,499 ",Hospital Schools,2014-2015
Methodist College of Nursing,276,"$847,081 ",Hospital Schools,2014-2015
National University of Health Sciences,7,"$21,709 ",Hospital Schools,2014-2015
Resurrection University,153,"$479,697 ",Hospital Schools,2014-2015
Rush University-Med Tech,27,"$106,992 ",Hospital Schools,2014-2015
St. Anthony College of Nursing,97,"$349,664 ",Hospital Schools,2014-2015
St. Francis Medical Ctr College of Nursing,133,"$458,056 ",Hospital Schools,2014-2015
St. Johns College Dept of Nursing,22,"$96,132 ",Hospital Schools,2014-2015
Trinity College of Nursing & Health Science,40,"$135,825 ",Hospital Schools,2014-2015
American Academy of Art,162,"$571,636 ",For Profit,2014-2015
Argosy University,--,--,For Profit,2014-2015
DeVry University - Chicago,"1,641","$4,781,824 ",For Profit,2014-2015
Fox College,178,"$597,452 ",For Profit,2014-2015
Harrington College of Design,87,"$245,645 ",For Profit,2014-2015
Kendall College,388,"$1,066,594 ",For Profit,2014-2015
Le Cordon Bleu College of Culinary Arts,189,"$480,495 ",For Profit,2014-2015
Midstate College,259,"$620,153 ",For Profit,2014-2015
Northwestern College,603,"$1,365,622 ",For Profit,2014-2015
The Illinois Institute of Art,948,"$2,742,380 ",For Profit,2014-2015
